iter,data_n_clusters_2.0_mean,data_n_clusters_2.0_upper,data_n_clusters_2.0_lower,data_n_clusters_3.0_mean,data_n_clusters_3.0_upper,data_n_clusters_3.0_lower,data_n_clusters_5.0_mean,data_n_clusters_5.0_upper,data_n_clusters_5.0_lower,data_n_clusters_10.0_mean,data_n_clusters_10.0_upper,data_n_clusters_10.0_lower
0,8.932404136657714,8.94502910951541,8.919779163800019,8.800838565826416,8.80975807920741,8.79191905244542,7.617786169052124,7.627036382028734,7.608535956075514,6.510306930541992,6.51930751319289,6.501306347891093
1,7.625953960418701,7.636065221441794,7.615842699395608,7.672674655914307,7.680623496462569,7.664725815366045,6.774844694137573,6.78847206398696,6.761217324288186,5.855257987976074,5.86332136354983,5.847194612402318
2,6.554648303985596,6.565072251940821,6.544224356030371,6.729811525344848,6.741982183305494,6.717640867384203,6.076839971542358,6.09007514385931,6.0636047992254065,5.296521425247192,5.309352486595867,5.2836903638985175
3,5.674661254882812,5.684909594861365,5.6644129149042595,5.964002227783203,5.9753848113867845,5.952619644179621,5.492290115356445,5.504811569355925,5.479768661356965,4.838127088546753,4.849872578256692,4.826381598836814
4,4.934275197982788,4.943727721742504,4.924822674223072,5.298708057403564,5.314430137223276,5.282985977583852,4.995157480239868,5.008142997604109,4.982171962875627,4.456397151947021,4.467003309181232,4.4457909947128105
5,4.313639831542969,4.3254371253072605,4.301842537778677,4.7385602474212645,4.750519923887972,4.726600570954557,4.579610109329224,4.5893051434543946,4.569915075204053,4.130200481414795,4.1401210542000575,4.120279908629532
6,3.785498785972595,3.7982937704721538,3.7727038014730363,4.2554030418396,4.267294891993852,4.243511191685347,4.213745832443237,4.224818068599605,4.2026735962868695,3.8492534875869753,3.8616020463440437,3.836904928829907
7,3.336735153198242,3.3480055259875674,3.325464780408917,3.8404765367507934,3.848484053969417,3.83246901953217,3.889692449569702,3.901180402664492,3.878204496474912,3.601913261413574,3.6113471496928327,3.5924793731343154
8,2.9497718811035156,2.959315896644455,2.9402278655625764,3.470172882080078,3.478741982859912,3.4616037813002443,3.6026151895523073,3.6147795830672167,3.590450796037398,3.376145362854004,3.385355452720634,3.366935272987374
9,2.622060990333557,2.6294462984196803,2.614675682247434,3.144254231452942,3.1522485124216244,3.136259950484259,3.336638832092285,3.3480478769932867,3.3252297871912835,3.1748310804367064,3.1841095098371706,3.165552651036242
10,2.3307982206344606,2.3365468051174605,2.3250496361514608,2.8594470739364626,2.868492758729792,2.850401389143133,3.1076350927352907,3.116279151494527,3.0989910339760542,2.9952719688415526,3.005821020121802,2.984722917561303
11,2.080123782157898,2.0853555191685023,2.0748920451472936,2.612640857696533,2.6226742726244536,2.6026074427686128,2.907646059989929,2.91631474824989,2.8989773717299685,2.8386887073516847,2.849291684995442,2.828085729707927
12,1.8631161093711852,1.868527502084546,1.8577047166578244,2.3904393911361694,2.400521548603703,2.380357233668636,2.722983193397522,2.7310769790816933,2.714889407713351,2.7015966176986694,2.711364807202384,2.6918284281949547
13,1.672112810611725,1.677128979943242,1.6670966412802077,2.196388840675354,2.2089339439305085,2.1838437374201995,2.56120080947876,2.5730993156675073,2.5493023032900126,2.5750680685043337,2.5865999922584337,2.5635361447502336
14,1.501965057849884,1.5070055007678276,1.4969246149319404,2.0237757086753847,2.0366774973315502,2.010873920019219,2.4067653894424437,2.4210453350794148,2.3924854438054726,2.4645722627639772,2.4757778354051343,2.45336669012282
15,1.351979386806488,1.3568337085333473,1.3471250650796287,1.8661635398864747,1.8762070337873065,1.8561200459856428,2.2617185354232787,2.2735173948898986,2.249919675956659,2.353317475318909,2.36282873052039,2.3438062201174277
16,1.2218813300132751,1.2265938753997723,1.217168784626778,1.7300193428993225,1.739519822154932,1.720518863643713,2.139332890510559,2.150641593351601,2.128024187669517,2.2622295379638673,2.2712747487893257,2.253184327138409
17,1.1032127261161804,1.1078564336260945,1.0985690186062662,1.6052042722702027,1.614321339530502,1.5960872050099033,2.029508948326111,2.0414796524805174,2.0175382441717042,2.174613046646118,2.183137652941381,2.166088440350855
