iter,algo_S_3.0_mean,algo_S_3.0_upper,algo_S_3.0_lower,algo_S_5.0_mean,algo_S_5.0_upper,algo_S_5.0_lower,algo_S_8.0_mean,algo_S_8.0_upper,algo_S_8.0_lower,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower
39,1.0907748460769653,1.1043954579587278,1.0771542341952027,0.44065390825271605,0.4468513715203188,0.4344564449851133,0.2164566725492477,0.21852361945810364,0.21438972564039174,0.17880747765302657,0.18001897834974803,0.1775959769563051
40,1.072559118270874,1.0852123933954032,1.0599058431463448,0.4243771553039551,0.4307869062590471,0.4179674043488631,0.20518968403339385,0.2072888439282658,0.2030905241385219,0.1678206458687782,0.1689271218442017,0.16671416989335472
41,1.0489659309387207,1.0601449577341513,1.0377869041432901,0.40468664169311525,0.4111290448363024,0.3982442385499281,0.19573773592710494,0.19739965271383564,0.19407581914037425,0.15848693847656248,0.15943453956826972,0.15753933738485523
42,1.0281054854393006,1.0392277858758578,1.0169831850027433,0.39031162559986116,0.39699646892273677,0.38362678227698555,0.18592061996459958,0.18705872811389268,0.18478251181530647,0.15058404058218003,0.15142029297959705,0.149747788184763
43,1.0052343249320983,1.0158315629229995,0.9946370869411972,0.37733752429485323,0.383354445175752,0.37132060341395445,0.17624676823616026,0.1773454834664711,0.1751480530058494,0.14306875020265578,0.1438256744777621,0.14231182592754946
44,0.9866761803627014,0.9971314647524622,0.9762208959729407,0.3611874580383301,0.3665814250709133,0.35579349100574686,0.1677916660904884,0.16879044844130786,0.16679288373966894,0.13580541759729386,0.1364206847172881,0.13519015047729963
45,0.970398461818695,0.9774157475090346,0.9633811761283555,0.35158381760120394,0.3573842554161515,0.3457833797862564,0.16099007576704022,0.16194491764494245,0.16003523388913798,0.13007257133722303,0.13088163202159073,0.12926351065285532
46,0.9571541845798492,0.965069749016678,0.9492386201430205,0.34030944406986235,0.3461696410574434,0.3344492470822813,0.15389338433742522,0.1550923666870964,0.15269440198775405,0.12377165555953976,0.1246125662851336,0.1229307448339459
47,0.940863835811615,0.9491655754672063,0.9325620961560238,0.33029706180095675,0.3350708639712317,0.3255232596306818,0.14704704433679577,0.14821340072206732,0.14588068795152423,0.118462261557579,0.11914394577079405,0.11778057734436394
48,0.9266589164733887,0.9344363586802905,0.9188814742664869,0.3191510409116745,0.32401781431989757,0.31428426750345145,0.14124906957149502,0.1424261955049619,0.14007194363802813,0.11347802355885503,0.11417495382202529,0.11278109329568477
49,0.91065012216568,0.9186785278616225,0.9026217164697374,0.3113976180553436,0.31654714743945206,0.30624808867123515,0.13640152215957638,0.13782431621528476,0.134978728103868,0.10984385684132573,0.11061184697322612,0.10907586670942535
50,0.9013654589653015,0.9106985049144638,0.8920324130161392,0.30171452164649964,0.3070085711092983,0.296420472183701,0.13145379871129986,0.1330927364620974,0.12981486096050232,0.10501312240958209,0.10576031527189762,0.10426592954726656
51,0.8920951664447785,0.9031786358697057,0.8810116970198513,0.2927967458963394,0.29792115276380515,0.2876723390288737,0.12674749642610547,0.1281693024253289,0.12532569042688205,0.10087198391556736,0.10155825139622437,0.10018571643491034
52,0.8834312081336975,0.8931675051063698,0.8736949111610252,0.28785607814788816,0.2924886474044602,0.28322350889131614,0.12258154973387714,0.1238245686482611,0.12133853081949318,0.09779747501015658,0.09864484010458804,0.09695010991572511
53,0.8713415384292602,0.8817104839489983,0.8609725929095221,0.28087337911128996,0.2844623235846151,0.2772844346379648,0.11868225932121272,0.11977991029464016,0.11758460834778528,0.09511206001043315,0.09602337289183588,0.09420074712903043
54,0.864749151468277,0.875982914006762,0.8535153889297921,0.2749045968055725,0.2785663291315552,0.2712428644795898,0.11517779380083082,0.11612854335514969,0.11422704424651195,0.09170524701476093,0.09242275191324227,0.0909877421162796
55,0.8505557537078857,0.8613645862316075,0.8397469211841639,0.2690021455287933,0.27233993329319883,0.2656643577643878,0.11269837990403171,0.11402486652065633,0.1113718932874071,0.08945816606283184,0.09015953790615644,0.08875679421950725
56,0.8401423990726471,0.850010776444734,0.8302740217005602,0.2645574867725372,0.2674109422125988,0.2617040313324756,0.11033189669251438,0.11175364853074496,0.1089101448542838,0.08768170326948162,0.08815351439796348,0.08720989214099975
57,0.8331880509853363,0.8428778398042579,0.8234982621664148,0.2601847216486931,0.2627952469047039,0.2575741963926823,0.10785989761352532,0.10949294860863713,0.10622684661841351,0.08480614200234411,0.0852768069131181,0.08433547709157012
58,0.8288206279277801,0.8375200989720435,0.8201211568835167,0.2538228154182434,0.25728861949824405,0.2503570113382428,0.1058787882328033,0.10767441839793519,0.10408315806767142,0.08276661559939383,0.08340098782347516,0.0821322433753125
59,0.819831109046936,0.8283113138628156,0.8113509042310564,0.24960394203662872,0.25335573742435646,0.24585214664890098,0.10245859697461124,0.10419852203892115,0.10071867191030133,0.08033529520034785,0.08078302332711916,0.07988756707357654
60,0.8139916360378265,0.822895845878688,0.805087426196965,0.24643432348966599,0.2498545407545355,0.24301410622479647,0.10025586709380145,0.10217611326373746,0.09833562092386544,0.07851898148655886,0.07891260808646616,0.07812535488665157
61,0.8024243712425232,0.8119876047265715,0.7928611377584749,0.2445149838924408,0.24884283278568803,0.24018713499919359,0.0989338085055351,0.10047783853130825,0.09738977847976195,0.07723503112792965,0.07768582921575434,0.07678423304010495
62,0.7964873433113098,0.8044301325748218,0.7885445540477978,0.2414649799466133,0.24552645057055694,0.23740350932266968,0.09575041532516475,0.09731524118197656,0.09418558946835294,0.07510498017072674,0.07558456949237906,0.07462539084907442
63,0.7914419591426849,0.7980482803080544,0.7848356379773154,0.2398365586996078,0.24391744659346107,0.23575567080575452,0.09365269467234608,0.09486726498134342,0.09243812436334874,0.07404868975281712,0.07453444432554661,0.07356293518008762
64,0.7844389379024506,0.7909799416175575,0.7778979341873437,0.23825977444648738,0.24222275438593863,0.23429679450703614,0.09213077723979947,0.09341242934513379,0.09084912513446515,0.07360474020242688,0.07415998825722729,0.07304949214762647
65,0.7797504842281342,0.7880435253345411,0.7714574431217273,0.23455201834440226,0.23856754678433725,0.23053648990446726,0.08994298428297039,0.09122727033277038,0.0886586982331704,0.07306578531861302,0.07378722176319903,0.072344348874027
66,0.775654274225235,0.7828985069007528,0.7684100415497173,0.23116437494754788,0.23433088067018146,0.2279978692249143,0.08818569034337993,0.0893673250946946,0.08700405559206527,0.07206241562962527,0.07279012232194645,0.07133470893730409
67,0.7720390796661377,0.777450630112273,0.7666275292200024,0.22609162330627441,0.22930160087433943,0.2228816457382094,0.08699571862816805,0.08818918412298364,0.08580225313335245,0.07118429318070407,0.07203568321859055,0.0703329031428176
68,0.763759559392929,0.7720000753061658,0.7555190434796923,0.22150141894817352,0.22543334030331907,0.21756949759302796,0.085405571013689,0.08668202294285111,0.08412911908452687,0.07017584517598148,0.07102803388004231,0.06932365647192065
69,0.7584246456623077,0.7670506758489373,0.7497986154756782,0.2193834856152534,0.22327490635689898,0.2154920648736078,0.0846730269491672,0.08621222018127449,0.08313383371705992,0.06847193613648411,0.06934361636152538,0.06760025591144285
70,0.7538239598274231,0.7621772957570324,0.7454706238978138,0.2172985047101974,0.22101894778002276,0.21357806164037205,0.0832367248833179,0.08495973229095248,0.08151371747568333,0.06808586977422233,0.06910715270199198,0.06706458684645268
71,0.7531882107257843,0.7624679134697429,0.7439085079818258,0.21274196356534952,0.21638768114398255,0.2090962459867165,0.08218490034341808,0.08408080200253953,0.08028899868429662,0.06760087795555586,0.06861755149531865,0.06658420441579307
72,0.7552371978759765,0.7646865393608455,0.7457878563911076,0.21148460805416103,0.21519288309466897,0.2077763330136531,0.08114105314016337,0.08317533185879913,0.07910677442152761,0.06713597029447553,0.06786001272232045,0.06641192786663061
73,0.7507839381694794,0.7604633307750186,0.7411045455639402,0.20906851589679715,0.2126961888614697,0.20544084293212458,0.08079022020101545,0.08253446340188118,0.07904597700014972,0.0666236333549022,0.06718220821062738,0.06606505849917703
74,0.7485508620738983,0.758332883209087,0.7387688409387096,0.20619456022977825,0.20972040856754892,0.20266871189200758,0.07972045168280598,0.08114431902746752,0.07829658433814443,0.06576791182160371,0.06630825660371911,0.06522756703948832
75,0.7475093483924866,0.7579619491552099,0.7370567476297634,0.20475399941205974,0.2084626155542658,0.2010453832698537,0.07886230498552319,0.08062397326909851,0.07710063670194786,0.06488663665950295,0.06549985464895258,0.06427341867005332
76,0.7427865087985992,0.7526805063825963,0.7328925112146021,0.2040425106883049,0.2077229610470948,0.20036206032951498,0.07774264663457864,0.07961148660300371,0.07587380666615356,0.0643397189676761,0.06494816547466918,0.06373127246068301
77,0.7411725223064423,0.7512439675134961,0.7311010770993884,0.20132942050695418,0.20517771237959206,0.1974811286343163,0.07775403410196301,0.07948186105558795,0.07602620714833806,0.0634223692119121,0.06406034722658689,0.06278439119723732
78,0.7414026737213135,0.7508966001284552,0.7319087473141719,0.19923428297042847,0.2028712996559342,0.19559726628492274,0.07699025273323054,0.07840731482002569,0.07557319064643539,0.06274129971861833,0.06347292920977472,0.06200967022746195
79,0.7397550106048584,0.7497380771295317,0.7297719440801851,0.19728298932313917,0.2001927920958814,0.19437318655039695,0.07722064331173893,0.07847838971465187,0.07596289690882599,0.06253923587501044,0.06339766447017509,0.0616808072798458
80,0.7360869169235229,0.7457783789572404,0.7263954548898054,0.19649734050035475,0.19917881003510593,0.19381587096560357,0.0762744292616844,0.07751436031484087,0.07503449820852794,0.06203452609479423,0.06275227550669937,0.061316776682889075
81,0.7395162463188172,0.749251640897649,0.7297808517399854,0.19509954452514644,0.1972485136886617,0.19295057536163118,0.07550156638026233,0.07646891733902908,0.07453421542149558,0.06173365078866476,0.06249285849228443,0.06097444308504509
82,0.7383116543292999,0.7471500888930304,0.7294732197655694,0.19303021579980847,0.1952848110935505,0.19077562050606645,0.07513032183051106,0.07631435824663857,0.07394628541438356,0.0611946631222963,0.06180370014012556,0.06058562610446704
83,0.739364355802536,0.747945219124426,0.730783492480646,0.19260484129190442,0.19470658161426546,0.19050310096954337,0.07479258105158801,0.07593092264153123,0.07365423946164479,0.06060797534883018,0.06115219660221952,0.06006375409544084
84,0.7384237229824067,0.7469291603097743,0.729918285655039,0.19188099801540373,0.1942441434956741,0.18951785253513337,0.07333806976675981,0.07440494680344346,0.07227119273007616,0.05971601642668243,0.0601518379527446,0.05928019490062026
