iter,algo_S_3.0_mean,algo_S_3.0_upper,algo_S_3.0_lower,algo_S_5.0_mean,algo_S_5.0_upper,algo_S_5.0_lower,algo_S_8.0_mean,algo_S_8.0_upper,algo_S_8.0_lower,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower
12,121.20772173182664,121.79320279152219,120.62224067213108,120.90808156028515,121.45263257005722,120.36353055051309,121.06634241131442,121.63543031068593,120.49725451194291,122.15540694647571,122.69966579845759,121.61114809449383
13,119.48793388687918,120.1461187470002,118.82974902675815,119.56068268119705,120.05847752079607,119.06288784159803,120.42901905555512,121.11829418005051,119.73974393105972,121.16486316213154,121.57259274290138,120.7571335813617
14,119.44054695783625,119.92641999897283,118.95467391669966,118.57881044986553,119.11851379823248,118.03910710149857,119.35801314514826,119.94231154328921,118.77371474700732,119.2222728778485,119.61169711227885,118.83284864341815
15,118.16778856311578,118.609193849565,117.72638327666655,117.9012003939201,118.47122603827867,117.33117474956154,118.55673946442937,118.98877119680508,118.12470773205366,119.21900437663446,119.58971692614533,118.84829182712359
16,117.29127510500939,117.916716764009,116.66583344600978,116.94870461139708,117.36181886894563,116.53559035384852,117.67344370781227,118.21518261640267,117.13170479922186,118.46698596511655,119.01332160751831,117.92065032271479
17,116.24085435929968,116.6991077732522,115.78260094534716,116.88409183884497,117.4473403696391,116.32084330805084,117.12389849016554,117.73433120503924,116.51346577529185,117.47108800350448,117.98542870581089,116.95674730119806
18,115.42131404417846,115.84938068435136,114.99324740400556,116.03305447285683,116.4426019928009,115.62350695291276,115.59033235959858,116.29776276118567,114.88290195801149,116.46524823483665,116.95386518783461,115.97663128183869
19,115.6833140611021,116.0014903834868,115.3651377387174,115.58242543701923,116.12690821607951,115.03794265795894,115.68197923913628,116.23790790501756,115.126050573255,116.42384310573894,116.84154130613517,116.00614490534271
20,115.10469947022315,115.56784934282504,114.64154959762126,114.52765552453357,114.966549771076,114.08876127799114,115.64152126186112,116.2256045986601,115.05743792506213,115.74313877107502,116.22288199953722,115.26339554261283
21,114.49939633250031,114.91863603760278,114.08015662739784,114.22144777078351,114.66737784695067,113.77551769461635,114.76575940070066,115.32480963811011,114.20670916329121,114.97865602627633,115.47953379707634,114.47777825547631
22,114.47708842137328,115.01133645721033,113.94284038553623,113.3454961340816,113.83881231767812,112.85217995048508,113.96047357421075,114.40427343762721,113.5166737107943,114.39005127442098,114.72815191723147,114.0519506316105
23,113.98116911349402,114.32646520932207,113.63587301766597,113.30965011457813,113.69674211331554,112.92255811584073,113.504646941433,113.96789256669447,113.04140131617152,114.36605257236856,114.81170792544002,113.9203972192971
24,113.79994008999998,114.22381175526044,113.37606842473951,112.91923123743986,113.47574253307216,112.36271994180755,113.63480208478032,114.14568053087159,113.12392363868905,113.32556117909732,113.93857499472566,112.71254736346899
25,113.38800766330849,113.90850701959116,112.86750830702582,112.3355597551733,112.57016543229939,112.10095407804722,113.1457748226627,113.70732473440621,112.58422491091919,113.3445393767275,113.80531110466818,112.88376764878682
26,112.71735495159847,113.03166155858442,112.40304834461251,112.88565877404935,113.40564156806069,112.365675980038,112.67210469531979,113.11968827797288,112.2245211126667,113.15460645447092,113.73150807367045,112.57770483527139
27,111.93241569078887,112.43338227560449,111.43144910597326,111.9875284020316,112.38408459652118,111.59097220754202,112.0894279989814,112.52794067923517,111.65091531872764,112.42963883024204,112.84576453575926,112.01351312472482
28,112.46307432673522,112.86535374531474,112.06079490815571,111.62036486841446,112.0098609641812,111.23086877264771,111.7415016438523,112.16536842800726,111.31763485969735,111.86836730073837,112.42017547570408,111.31655912577266
29,111.69858058498248,112.14050317007462,111.25665799989034,111.18247791069818,111.60604594976338,110.75890987163298,111.41927644837861,111.7907888794833,111.04776401727392,111.75876357471812,112.27340506025786,111.24412208917838
30,111.79737512743338,112.00875932764066,111.5859909272261,111.4671798509266,111.88424961417178,111.05011008768142,111.34312436662249,111.80687821519439,110.87937051805059,111.51060082238034,111.95662520069402,111.06457644406666
31,111.30498971134496,111.70835514528163,110.90162427740829,110.55101755826334,110.96090873713223,110.14112637939445,110.9438582721754,111.41744941175376,110.47026713259704,111.00908827771562,111.44584915877059,110.57232739666065
32,111.03411016299165,111.41592635290937,110.65229397307394,110.79149353742973,111.20480346694806,110.3781836079114,110.94478583679631,111.28005117060957,110.60952050298306,111.09546450932658,111.44232402760264,110.74860499105051
33,111.27012909702614,111.77227648699404,110.76798170705824,110.69419287446517,111.15724612767342,110.23113962125693,110.23959591903717,110.86277930030442,109.61641253776992,110.54222199348558,111.0113157437321,110.07312824323907
34,110.88927205254353,111.28404121513715,110.49450288994991,110.41600740118395,110.81850807187962,110.01350673048827,109.968908708914,110.56144327346517,109.37637414436283,109.80753380676015,110.13992236668301,109.47514524683729
35,111.01837378399527,111.48800172623675,110.5487458417538,110.35443042285354,110.85328978762608,109.855571058081,109.9641575672712,110.40518171421073,109.52313342033167,109.81024110203748,110.0842229399712,109.53625926410376
36,110.5761750695765,110.8865104981278,110.26583964102518,109.48957760945609,109.81740302572443,109.16175219318775,109.81105972314235,110.37047051409343,109.25164893219127,110.0078058017665,110.37847699312708,109.63713461040591
37,110.40914360702043,110.84601578085928,109.97227143318158,109.72104838864914,110.08024681287182,109.36184996442645,109.37202181032112,109.79140820928816,108.95263541135407,109.53877579752005,109.91482074878239,109.1627308462577
38,110.85234128005962,111.20749972741662,110.49718283270262,110.05775214154252,110.41822568213038,109.69727860095466,109.22103151203842,109.69866686733707,108.74339615673978,109.31775532737315,109.519127614591,109.1163830401553
39,110.48139305262733,111.00872387958813,109.95406222566652,109.68614453398781,110.18219400868865,109.19009505928697,108.7603337184041,109.09310763234448,108.42755980446371,109.01169276882463,109.339209892582,108.68417564506726
40,110.97626901890635,111.3798597131739,110.5726783246388,109.22240071428864,109.49209480529318,108.9527066232841,109.09267004096803,109.54327956802815,108.64206051390791,108.63857087581748,108.87417878097777,108.40296297065719
41,110.01740586702776,110.26660941335153,109.76820232070399,108.98391805684794,109.3791395446748,108.58869656902108,108.5462827196196,109.03202880824378,108.06053663099541,108.786082286093,109.23735337352994,108.33481119865607
42,110.22643757753164,110.41599002175002,110.03688513331326,108.99629388612266,109.29325062336297,108.69933714888235,108.01338830326816,108.39829980947471,107.62847679706161,107.8600541035883,108.221222527577,107.4988856795996
43,109.63083599612283,110.00477085912922,109.25690113311643,108.78163966525335,109.05792647235647,108.50535285815023,108.00473825709233,108.34839352157672,107.66108299260793,108.18392626327379,108.56323040484452,107.80462212170306
44,109.21267792047801,109.52091960339136,108.90443623756467,108.25823484909354,108.59536681791016,107.92110288027692,108.92223930295395,109.38517117432082,108.45930743158709,107.93536700201794,108.3146183684078,107.55611563562807
45,109.54022671479056,109.80901220927329,109.27144122030784,108.01919523916904,108.38035672563024,107.65803375270784,107.46956649021604,107.87861955266004,107.06051342777204,107.62747431141793,108.07127926338353,107.18366935945232
