iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
16,4.302058739343584,4.488732338305938,4.115385140381231,114.61787646824766,115.06334313347945,114.17240980301587,643.1979331324192,645.7078563789096,640.6880098859288,1530.8310555430949,1538.1463928610945,1523.5157182250953
17,4.264468980061289,4.447791069161478,4.0811468909611,113.65799890717517,114.09589760896411,113.22010020538623,639.0675487046129,641.4358980241337,636.6991993850921,1519.1891095455353,1527.4255784451918,1510.9526406458788
18,4.250992000969092,4.443132020728762,4.058851981209421,112.41625615752244,112.84594224095919,111.98657007408569,635.365879033951,637.7589514975772,632.9728065703249,1513.8394041365545,1520.5842295555763,1507.0945787175328
19,4.227067343359368,4.412561747768021,4.041572938950716,111.65615603104357,112.03628887515357,111.27602318693356,629.6781991234511,631.9798735465295,627.3765247003728,1500.8259772899287,1508.5819621498094,1493.069992430048
20,4.199116661459771,4.3874008209069775,4.010832502012564,111.26702844853685,111.77959549418271,110.75446140289098,623.9730175725899,626.6196222323539,621.326412912826,1493.8079329434954,1500.88451947331,1486.7313464136807
21,4.199866971062566,4.399789961511594,3.9999439806135366,111.01169999520735,111.39672724571788,110.62667274469682,622.8782559279583,625.1619401377463,620.5945717181703,1484.5266677411933,1493.073372667514,1475.9799628148726
22,4.18060970789414,4.381260401933953,3.979959013854327,110.19633689065765,110.61258920347952,109.78008457783578,618.6507801208111,620.9496849403412,616.351875301281,1477.3231213988063,1484.2178043105662,1470.4284384870464
23,4.156531152888565,4.355047192078333,3.958015113698797,109.79497815880794,110.18333727316198,109.40661904445389,616.23291625363,618.7386282435465,613.7272042637136,1466.8361779587663,1472.178949239085,1461.4934066784476
24,4.164478138423588,4.367930559969156,3.9610257168780203,109.26330347168769,109.62782888587168,108.8987780575037,609.452076223299,611.8141131366971,607.0900393099008,1459.593566383016,1466.9101557017032,1452.2769770643288
25,4.143581926771555,4.350384225922634,3.936779627620475,109.44761636828306,109.73245456164705,109.16277817491908,606.9694709972713,609.1789794744249,604.7599625201177,1451.9427099149946,1457.8893386494556,1445.9960811805336
26,4.130706397304241,4.329339733920137,3.9320730606883445,108.13518264995778,108.33867304849211,107.93169225142346,605.3452364823443,607.8322733921233,602.8581995725652,1447.8156725611211,1453.1176231193222,1442.51372200292
27,4.129243295922584,4.326433077295488,3.9320535145496796,107.86913622028335,108.22012880368452,107.51814363688219,604.0769130395009,605.8905309226906,602.2632951563113,1431.50025693636,1436.9902102946278,1426.0103035780924
28,4.11705357959119,4.317738950259723,3.916368208922657,107.72365555730582,108.02648188860832,107.42082922600332,599.4917793022004,602.0688768308402,596.9146817735606,1430.078923882405,1436.2812981151171,1423.8765496496928
29,4.088723036342871,4.291017459744455,3.8864286129412866,107.39055595459129,107.64920303014908,107.1319088790335,597.590984783371,599.8940642448841,595.2879053218579,1422.9510769582253,1428.6759258557831,1417.2262280606674
30,4.0890176547806485,4.290611817852182,3.8874234917091157,107.21215972117866,107.4023930375629,107.02192640479443,593.3547285759238,595.318902384939,591.3905547669086,1413.6778705974505,1419.3501252716035,1408.0056159232975
31,4.09737045973574,4.3089815446848885,3.8857593747865917,106.42983136712765,106.71454809887038,106.14511463538491,590.9487496417468,593.0844389056047,588.8130603778889,1408.9904066160225,1414.7522856067608,1403.2285276252842
32,4.0749225555145845,4.288441461341291,3.861403649687878,106.45098809610423,106.76783337435602,106.13414281785244,588.5042087138808,590.4976649186656,586.5107525090959,1401.8316460204335,1406.595430165549,1397.067861875318
33,4.079813451753312,4.285880566732897,3.873746336773727,106.0156672245445,106.34538555755321,105.68594889153579,584.5010044581171,586.7027912822068,582.2992176340274,1398.3571877306192,1403.501043666669,1393.2133317945695
34,4.099497782871165,4.315370739696848,3.883624826045481,105.91858812836895,106.2068568073341,105.6303194494038,583.4161583636262,585.14230955945,581.6900071678024,1391.7188816529565,1397.314106314466,1386.123656991447
35,4.068596315633563,4.271311061817659,3.8658815694494666,105.27791029773103,105.59020817950453,104.96561241595752,581.8411047686816,583.5842109082296,580.0979986291336,1383.3770787104995,1389.2844192812865,1377.4697381397125
36,4.062104004969887,4.267005589865376,3.857202420074398,105.57518745612413,105.82514240216256,105.3252325100857,577.0541504585652,578.5856532386937,575.5226476784368,1380.9089545993843,1385.1608931643989,1376.6570160343697
37,4.063640475112412,4.265645699241105,3.861635250983719,104.79137653466401,105.09826316847857,104.48448990084945,575.6918011620395,577.5883780489424,573.7952242751365,1376.448258183333,1379.9080730435187,1372.9884433231475
38,4.060230977964947,4.268595578862209,3.8518663770676844,104.95993929885954,105.25853021892087,104.66134837879821,574.5022722115147,576.3329632127289,572.6715812103004,1373.7657875115463,1379.1116117830852,1368.4199632400073
39,4.047691443936375,4.256327029669461,3.839055858203289,104.60258025198728,104.89981830195997,104.30534220201459,572.2727419757351,574.2750587853551,570.2704251661152,1361.970450572464,1366.7551666638944,1357.1857344810335
40,4.042824237610573,4.247405886289906,3.838242588931241,104.13174398117962,104.42420139173987,103.83928657061938,571.5152019597919,573.8296255383937,569.20077838119,1355.2624045227794,1360.4560488071943,1350.0687602383646
41,4.025407399983758,4.233775878910428,3.817038921057088,104.35350278112178,104.80627732128276,103.90072824096079,569.7075182305724,571.3688563506105,568.0461801105344,1357.648658488083,1363.0402138942816,1352.2571030818842
42,4.051795651479521,4.262615032323988,3.8409762706350543,103.97671988719489,104.26540834797895,103.68803142641083,564.5628768486224,566.700646513954,562.4251071832908,1351.5382496078114,1355.273979492506,1347.8025197231168
43,4.038939613187305,4.24385055080835,3.8340286755662603,103.61085914780158,104.11235329577397,103.10936499982918,563.4986265988731,565.3225894357225,561.6746637620237,1348.4121292055333,1351.3833944246699,1345.4408639863968
44,4.03591229803311,4.248238330119275,3.823586265946945,103.32039744466447,103.68660422649195,102.95419066283698,561.4984891350575,563.4698399043361,559.5271383657789,1336.0627275078216,1338.434934045787,1333.6905209698562
45,4.025777599132132,4.2334920125385125,3.8180631857257517,103.26067029191861,103.71796636352427,102.80337422031296,560.1704765808887,562.0112853466411,558.3296678151363,1339.2595899328305,1342.1991587463529,1336.3200211193082
46,4.019598008308805,4.227413334595093,3.8117826820225176,103.64554912990332,104.00356960409343,103.2875286557132,559.200353291204,560.6340674399656,557.7666391424424,1334.3232787405955,1338.0439823738247,1330.6025751073662
47,4.01327960606014,4.218783999833986,3.807775212286293,103.42770757862665,103.85598088966816,102.99943426758514,556.5563064067385,557.9969021177686,555.1157106957083,1327.521367791751,1330.4790585960945,1324.5636769874072
48,4.038848076390324,4.246288731584054,3.8314074211965945,102.87869259608195,103.3038081788428,102.4535770133211,555.2660517677753,557.121147694799,553.4109558407515,1321.5907379709993,1324.5657542159129,1318.6157217260857
49,4.055268893143718,4.266989274886071,3.843548511401365,102.75271127965178,103.10170157936102,102.40372097994253,553.6893090243447,555.0855357669933,552.293082281696,1320.508229010945,1323.5424639268826,1317.4739940950071
50,4.052134400640742,4.254926477084584,3.8493423241969,103.0458944768036,103.38617173356789,102.7056172200393,553.9899582192734,555.6656434297889,552.3142730087578,1314.2429055766536,1317.9361771421436,1310.5496340111636
51,4.062077334061313,4.2782858281766805,3.845868839945946,102.56922908590505,102.95726639884413,102.18119177296597,549.2755380730166,550.7284188013784,547.8226573446548,1312.1565110151155,1316.1455245662082,1308.1674974640227
52,4.0446257596773885,4.253964716114529,3.8352868032402476,102.47556245990688,102.79225399231545,102.15887092749831,547.7479307583809,549.5276523079563,545.9682092088055,1309.0118812488834,1311.9301854315559,1306.0935770662109
53,4.0293060900838515,4.235423698827459,3.8231884813402446,102.58736706967643,102.98482753532598,102.18990660402689,546.8805939255896,549.4480009280736,544.3131869231055,1301.2759584715366,1304.468538122309,1298.0833788207642
54,4.050548959742192,4.258459029342973,3.842638890141412,102.8964027445267,103.12922731293871,102.66357817611468,548.4614088881331,550.639456838233,546.2833609380332,1302.3114504981154,1305.7187751287086,1298.9041258675222
