iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
52,0.7391378998756408,0.7413366255067448,0.7369391742445368,0.742284619808197,0.7434845359367697,0.7410847036796244,0.7633820831775665,0.7651573990069006,0.7616067673482324,0.8058031082153321,0.8075616574904828,0.8040445589401813
53,0.7070575654506683,0.7091608488730725,0.7049542820282642,0.7110693991184235,0.7123569712417146,0.7097818269951324,0.7327553868293762,0.7347919887066225,0.7307187849521299,0.778017520904541,0.7797638373522479,0.7762712044568342
54,0.6765534281730652,0.678455114198766,0.6746517421473643,0.6808376610279083,0.6820667085283726,0.6796086135274441,0.7039309620857239,0.7060055556782098,0.7018563684932381,0.7515211045742035,0.7532450123468226,0.7497971968015844
55,0.647047632932663,0.6489698096072065,0.6451254562581195,0.6517507851123809,0.6531162827649957,0.6503852874597662,0.6775233030319214,0.6797277646916023,0.6753188413722405,0.7265921175479889,0.7285533461463854,0.7246308889495924
56,0.6199164152145386,0.6218886068240589,0.6179442236050182,0.6244650423526764,0.6259395785575343,0.6229905061478185,0.6508504211902618,0.6528793989501808,0.6488214434303429,0.7010924816131592,0.7029272544084217,0.6992577088178966
57,0.5940621256828308,0.5961520851058691,0.5919721662597924,0.5982289135456085,0.5997318109006323,0.5967260161905846,0.625907588005066,0.6277427095133777,0.6240724664967542,0.6766221642494201,0.6785828088435769,0.6746615196552633
58,0.5687600612640381,0.570934532688651,0.5665855898394252,0.5738143503665925,0.5752143712064377,0.5724143295267472,0.6022874534130096,0.6039809967372426,0.6005939100887766,0.6546485662460327,0.6563198219804729,0.6529773105115926
59,0.5446817338466644,0.5467704646249686,0.5425930030683602,0.5500034332275391,0.55160716285042,0.5483997036046582,0.5799480080604553,0.5817505540869226,0.5781454620339881,0.6343037009239196,0.6359732956104812,0.632634106237358
60,0.5226493000984191,0.5245188990664537,0.5207797011303846,0.5277328372001648,0.5291228955552696,0.5263427788450601,0.5591494560241699,0.560757356309788,0.5575415557385518,0.6159272909164428,0.6174210554373138,0.6144335263955718
61,0.5005682229995727,0.5021535882793968,0.4989828577197486,0.5066778719425201,0.507851426684795,0.5055043172002452,0.5402603268623352,0.5418988906178773,0.538621763106793,0.5972265422344207,0.5986392014838994,0.5958138829849421
62,0.47996013462543485,0.48145459741012214,0.47846567184074756,0.4863809645175934,0.4873585607235699,0.48540336831161685,0.5207264959812165,0.522017103633801,0.5194358883286319,0.5796812415122986,0.5810641528276262,0.578298330196971
63,0.4603303611278534,0.4616909509949532,0.4589697712607536,0.46721798479557036,0.468113856038234,0.4663221135529067,0.502348804473877,0.503555122876091,0.5011424860716629,0.5633915007114411,0.5645369281191674,0.5622460733037147
64,0.44127966463565826,0.44251298811149237,0.44004634115982416,0.44938647747039795,0.4504871738070706,0.4482857811337253,0.4847117096185684,0.48583406903830606,0.48358935019883076,0.5478476047515869,0.5491381371088061,0.5465570723943677
65,0.4231996238231659,0.4242852074462974,0.4221140402000344,0.4315434664487839,0.43248231539785914,0.43060461749970863,0.46813198626041413,0.4694713341538734,0.4667926383669549,0.5333038330078125,0.5351634894737295,0.5314441765418955
66,0.40579585134983065,0.40689826468706936,0.40469343801259194,0.4146359205245972,0.4156987065758697,0.41357313447332467,0.4529926061630249,0.45428972733996015,0.45169548498608963,0.5189219295978547,0.5204645421403726,0.5173793170553367
67,0.3896388649940491,0.3907799044741562,0.38849782551394196,0.3987173199653625,0.39975327603183486,0.3976813638988902,0.43883016109466555,0.4401443295092212,0.4375159926801099,0.5061471045017243,0.5072917159854141,0.5050024930180345
68,0.3748398184776306,0.37601370379966664,0.37366593315559454,0.3842053204774857,0.3851018853592601,0.38330875559571126,0.4242660939693451,0.42529090317006923,0.423241284768621,0.49218231737613677,0.4930327951013012,0.4913318396509723
69,0.36022799015045165,0.3613193192995269,0.3591366610013764,0.36986741721630095,0.37061879576478485,0.36911603866781706,0.41109153628349304,0.4118096282341218,0.41037344433286427,0.4820027232170105,0.48275837099461283,0.48124707543940815
70,0.34597751796245574,0.3470985424166702,0.34485649350824127,0.35607184171676637,0.35689602705712853,0.3552476563764042,0.39808273911476133,0.39864877866018267,0.39751669956934,0.47158666849136355,0.47277894652766117,0.4703943904550659
71,0.33231172263622283,0.3332843827425055,0.33133906252994016,0.34305937588214874,0.34394602821260994,0.34217272355168754,0.38642398715019227,0.38727474597153055,0.385573228328854,0.4621262222528458,0.46393479717908626,0.4603176473266053
72,0.32018945515155794,0.3211282822227895,0.3192506280803264,0.33133344948291776,0.33237860249789214,0.3302882964679434,0.3761220097541809,0.3768250525795153,0.3754189669288465,0.4529044806957245,0.45459872975572607,0.4512102316357229
73,0.3081933051347733,0.30906254354391477,0.3073240667256318,0.3207232177257538,0.321615952104139,0.3198304833473686,0.365556526184082,0.3662077189899283,0.3649053333782357,0.44326935708522797,0.4450986392656326,0.44144007490482334
74,0.2970654994249344,0.29801299152234756,0.2961180073275212,0.3097938418388367,0.3107320021150191,0.30885568156265425,0.3555840104818344,0.35638390938979936,0.35478411157386947,0.43532703816890717,0.43723673570008736,0.43341734063772697
75,0.2862867176532745,0.2873043348371201,0.28526910046942894,0.2992066413164139,0.3001128052484748,0.298300477384353,0.3452344536781311,0.3460641779540562,0.344404729402206,0.42718949913978577,0.42864994999115297,0.42572904828841857
76,0.27616738677024844,0.2772452877509001,0.27508948578959674,0.28920342922210696,0.2901778058774288,0.2882290525667851,0.3364945620298386,0.3372002968078004,0.33578882725187675,0.4202968865633011,0.421920636669447,0.4186731364571552
77,0.2663841962814331,0.26741874314930414,0.2653496494135621,0.27980639338493346,0.28075110076303395,0.278861686006833,0.3289406508207321,0.3298416134723937,0.3280396881690705,0.41302724480628966,0.41454179498406296,0.41151269462851636
78,0.2566091030836105,0.25759657177561596,0.25562163439160507,0.2708353489637375,0.2715832869476131,0.27008741097986194,0.3214407950639725,0.32253211258889275,0.32034947753905224,0.40636053681373596,0.4077967335064632,0.4049243401210087
79,0.24824077785015106,0.2491664935553469,0.24731506214495522,0.2624486267566681,0.2632889323139068,0.26160832119942934,0.31345588266849517,0.3143953598940105,0.3125164054429798,0.4005525916814804,0.4021525963509117,0.39895258701204905
80,0.23963003605604166,0.24052252601245677,0.23873754609962655,0.2545093521475792,0.25555570987161175,0.25346299442354664,0.30655217468738555,0.3076270707334123,0.3054772786413588,0.3959402024745941,0.397253518643483,0.3946268863057052
81,0.23146356195211407,0.23240551540731283,0.2305216084969153,0.2468960240483284,0.24795435230978138,0.2458376957868754,0.3007405996322632,0.30152207903282147,0.2999591202317049,0.3912043392658234,0.392081799564737,0.39032687896690976
82,0.22345146983861924,0.22434736490615098,0.2225555747710875,0.23925129920244217,0.24014242813551362,0.23836017026937073,0.2949132174253464,0.2955918971802072,0.2942345376704856,0.3857689917087555,0.38666507005177303,0.384872913365738
83,0.21632922589778897,0.21714440321501657,0.21551404858056136,0.23277114033699037,0.23371470077437798,0.23182757989960276,0.2876963406801224,0.2885019787441596,0.2868907026160852,0.38109427988529204,0.38182208737692364,0.38036647239366045
84,0.20939790606498718,0.20995860687121978,0.20883720525875457,0.22596108615398408,0.22670727603481694,0.22521489627315122,0.2811487317085266,0.28211762875998525,0.28017983465706797,0.375927260518074,0.37697449304799563,0.3748800279881524
85,0.2025941118597984,0.2030224242887845,0.20216579943081228,0.21928634196519853,0.22010871906234614,0.21846396486805092,0.2754958838224411,0.27635692794213,0.2746348397027522,0.3710922718048096,0.37237176531636995,0.3698127782932492
86,0.19679892212152478,0.1971957335457051,0.19640211069734445,0.2136350274085998,0.21452764634609356,0.21274240847110604,0.27030159831047057,0.2713385758875355,0.2692646207334056,0.3668971449136734,0.36826708083715815,0.3655272089901887
87,0.1907855615019798,0.1912291586023139,0.19034196440164572,0.20798452496528624,0.20879341746822225,0.20717563246235024,0.26524580717086793,0.26650555778689705,0.2639860565548388,0.364170640707016,0.3654812344118753,0.3628600470021567
88,0.18549998700618744,0.18601874985050607,0.18498122416186882,0.203398784995079,0.20414113668704933,0.20265643330310865,0.2605806589126587,0.26159988677847174,0.25956143104684565,0.35953733921051023,0.3602048937686803,0.35886978465234015
89,0.17972217947244642,0.18022678390967203,0.17921757503522082,0.19829489737749098,0.19886389393021733,0.19772590082476463,0.257073774933815,0.25820711944693475,0.25594043042069525,0.3569924235343933,0.35784636419733395,0.35613848287145267
90,0.17449923306703566,0.17498560966963736,0.17401285646443396,0.19309970587491987,0.19357905602182537,0.19262035572801436,0.25340155214071275,0.25461034868020493,0.25219275560122056,0.35415233969688414,0.3555892794608975,0.35271539993287077
91,0.16951081752777097,0.16988906909262957,0.16913256596291237,0.1886729449033737,0.18904382885075355,0.18830206095599383,0.24940096884965893,0.25019558750226534,0.24860635019705252,0.35179713666439055,0.3530910394271696,0.35050323390161153
92,0.16550810337066646,0.1659327069018198,0.16508349983951312,0.18499313741922377,0.18532902177048166,0.18465725306796588,0.2458266839385032,0.24654539427893443,0.245107973598072,0.34824431240558623,0.34930241026737774,0.3471862145437947
93,0.16102403402328488,0.16152443765100988,0.1605236303955599,0.1808723226189613,0.18152386684746938,0.18022077839045322,0.24248633533716196,0.24308494287247426,0.24188772780184967,0.34501712322235106,0.34639805236755994,0.3436361940771422
94,0.1573367282748222,0.15783132862566446,0.15684212792397995,0.17720603346824643,0.17777786776031296,0.1766341991761799,0.2394312515854835,0.24033597191067732,0.2385265312602897,0.3424832284450531,0.3436921924729328,0.34127426441717335
95,0.15346672534942624,0.15395686479545442,0.15297658590339805,0.17395592033863067,0.17462255803245466,0.17328928264480667,0.2368339285254478,0.23741838427569917,0.23624947277519642,0.3412252634763718,0.34249109998916116,0.3399594269635824
96,0.1499016553163528,0.1505202269366842,0.1492830836960214,0.17065882086753845,0.17122550307595175,0.17009213865912515,0.23348386436700821,0.23419751700038996,0.23277021173362647,0.33848746716976164,0.34004565843951956,0.3369292759000037
97,0.14634919464588164,0.14689272694440608,0.1458056623473572,0.16697049885988233,0.16758741956206455,0.1663535781577001,0.23139470070600504,0.23212754171436922,0.23066185969764086,0.33695288598537443,0.3385368098698058,0.3353689621009431
98,0.14287977814674374,0.14348887011103,0.14227068618245747,0.16379439681768415,0.16431426100132904,0.16327453263403927,0.22864255309104914,0.2296556716973154,0.22762943448478287,0.33598982691764834,0.33726927475368623,0.33471037908161044
99,0.1395618081092834,0.1402475083338351,0.1388761078847317,0.16086326390504838,0.16138175470022376,0.160344773109873,0.22610267102718348,0.22720143230978299,0.22500390974458398,0.3345070630311966,0.33601663242301905,0.33299749363937414
100,0.13627791255712507,0.136907158018672,0.13564866709557813,0.1576839134097099,0.15824448260489835,0.15712334421452148,0.2233618855476379,0.2243177458382849,0.22240602525699088,0.3329884856939316,0.3343117230792356,0.33166524830862754
101,0.13368305563926694,0.1343338439008931,0.1330322673776408,0.15559150725603102,0.15613339956829764,0.1550496149437644,0.22137738466262813,0.2221911757364452,0.22056359358881106,0.3319426029920578,0.3332132495042409,0.3306719564798747
102,0.13127146363258357,0.13186893922119355,0.1306739880439736,0.15372332036495204,0.1542869928436547,0.15315964788624936,0.22007551342248916,0.22106797814585197,0.21908304869912634,0.3311770796775818,0.3324764477508674,0.32987771160429624
103,0.12859698534011837,0.12918232870729318,0.12801164197294357,0.15138319432735442,0.15208637851443896,0.15068001014026988,0.21812665462493896,0.21905541017682484,0.2171978990730531,0.32998758256435395,0.3315106010333991,0.32846456409530883
104,0.12587789744138714,0.12651758979071642,0.12523820509205785,0.1485775753855705,0.1492053645063309,0.14794978626481012,0.21688540279865265,0.21817582785318695,0.21559497774411834,0.32863658368587495,0.33013221138899396,0.32714095598275594
105,0.12395666539669033,0.12453540094924978,0.12337792984413087,0.14640621095895764,0.14691701634371224,0.14589540557420305,0.21577489227056498,0.21662851317276294,0.21492127136836703,0.327261820435524,0.3287017926991768,0.32582184817187115
