iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
26,0.12395899146795268,0.12529718015328717,0.12262080278261818,0.827186393737793,0.8336736894585842,0.8206990980170018,2.6027140855789184,2.6221193536697514,2.5833088174880854,5.26466999053955,5.293178949016608,5.236161032062493
27,0.11184691116213794,0.11302432497025307,0.1106694973540228,0.7782758355140686,0.7848013657082561,0.7717503053198812,2.529466414451599,2.547865819746652,2.511067009156546,5.210707902908325,5.2395522885027725,5.181863517313878
28,0.1006691806018352,0.10184942550487937,0.09948893569879104,0.7340557396411895,0.7410258260918575,0.7270856531905215,2.463121008872986,2.4798587968223416,2.4463832209236305,5.1432935237884525,5.173814280054488,5.112772767522417
29,0.09057648479938503,0.09161160521999226,0.0895413643787778,0.6937984883785248,0.7006065160073781,0.6869904607496714,2.3933934450149534,2.4095644549932946,2.3772224350366122,5.082251405715942,5.114464092373049,5.050038719058835
30,0.08111465871334071,0.08209851376414047,0.08013080366254095,0.6548306763172149,0.6619051240944361,0.6477562285399937,2.326066994667053,2.3423442378831245,2.3097897514509818,5.027648830413819,5.061378341366819,4.993919319460819
31,0.07330194413661952,0.07422628900466743,0.0723775992685716,0.6213004648685455,0.6282820262006336,0.6143189035364575,2.2614765882492067,2.2771989938891526,2.245754182609261,4.96845850944519,5.000131658097532,4.9367853607928485
32,0.0661611776798963,0.06710571849006171,0.06521663686973088,0.5930081903934479,0.600990856168528,0.5850255246183678,2.2030683279037477,2.219852139814484,2.1862845159930115,4.914580917358398,4.946797355419637,4.882364479297159
33,0.06014904901385302,0.06094069683913956,0.05935740118856648,0.5638479471206665,0.5715308610150319,0.5561650332263012,2.145061421394348,2.163318483696539,2.126804359092157,4.8688499450683596,4.9038790552745,4.833820834862219
34,0.05459280610084527,0.05526677551474979,0.05391883668694075,0.5383557468652725,0.5457753979671699,0.5309360957633752,2.090712869167328,2.110447817197454,2.0709779211372017,4.815696477890015,4.853616276697658,4.777776679082371
35,0.049462753161787956,0.05005623722052747,0.048869269103048445,0.5147396773099899,0.5217248683622032,0.5077544862577766,2.0350546002388,2.053550591935534,2.0165586085420664,4.7672957420349125,4.805547759030442,4.729043725039383
36,0.04531396403908725,0.04582050146030482,0.04480742661786968,0.49474883675575254,0.5012867986146591,0.488210874896846,1.9818690180778504,1.9999776152811037,1.9637604208745971,4.718514680862427,4.756138298107466,4.680891063617388
37,0.041069363802671385,0.04156726265713787,0.0405714649482049,0.47190282344818113,0.4778475479776454,0.46595809891871687,1.9302090048789977,1.9490940674686297,1.9113239422893658,4.6670183658599855,4.704433025597277,4.629603706122694
38,0.038523697108030275,0.039027685096496276,0.038019709119564274,0.45255410075187685,0.45919366422706476,0.44591453727668895,1.8833821892738343,1.9019444236487335,1.864819954898935,4.621890115737915,4.660644205964489,4.583136025511341
39,0.03513211049139494,0.035542977064334694,0.034721243918455186,0.4324245542287827,0.43928926733273854,0.4255598411248268,1.832404327392578,1.8506923506825246,1.8141163041026316,4.564582252502442,4.599481892651666,4.529682612353217
40,0.03273716047406192,0.03333127845600482,0.03214304249211902,0.41579908430576323,0.4222755267623954,0.4093226418491311,1.792252492904663,1.810885149530879,1.773619836278447,4.521057558059693,4.555300999778679,4.486814116340706
41,0.030353106558322858,0.030982279981941092,0.029723933134704623,0.40210228860378266,0.4092639107948437,0.39494066641272163,1.7502074122428894,1.7690764931839418,1.7313383313018371,4.471381759643554,4.504794949273086,4.437968570014022
42,0.028005523793399257,0.028615419540205633,0.02739562804659288,0.38782995045185087,0.39417593616388574,0.381483964739816,1.7091559767723083,1.7276764298935379,1.6906355236510788,4.430189418792724,4.463838396341675,4.396540441243774
43,0.026106563396751832,0.02672424230595868,0.025488884487544983,0.37603114247322084,0.38222058777264817,0.3698416971737935,1.6696907043457032,1.6885368272791452,1.6508445814122612,4.387168455123901,4.422655947167613,4.35168096308019
44,0.023867057636380164,0.024311599017971613,0.023422516254788715,0.3626534193754196,0.36869065769770526,0.356616181053134,1.6286551833152771,1.6483654808361,1.6089448857944544,4.3414863586425785,4.377558570842504,4.3054141464426525
45,0.02208780758082862,0.02247505480432789,0.021700560357329347,0.3505588799715042,0.35705882180421433,0.34405893813879407,1.5881417036056518,1.6072431747572236,1.56904023245408,4.303143405914307,4.338771857404326,4.267514954424288
46,0.02074672412127251,0.021071982407334603,0.020421465835210418,0.3400678485631943,0.3457741820452863,0.33436151508110223,1.5505574941635132,1.5682785401879868,1.5328364481390395,4.255346250534058,4.29062941721963,4.220063083848485
47,0.01938212756067509,0.019699018180053707,0.01906523694129647,0.3305892527103424,0.336025019688651,0.3251534857320338,1.5135664820671082,1.5303240108290677,1.4968089533051487,4.2143261432647705,4.250364719774387,4.178287566755154
48,0.01835427489131684,0.018745090424156664,0.017963459358477016,0.32171807885169984,0.32729141145542556,0.3161447462479741,1.4822769522666932,1.4982251236990105,1.466328780834376,4.175433993339539,4.210414469602703,4.1404535170763745
49,0.017298892978578763,0.017706438919074807,0.01689134703808272,0.3111684203147888,0.31628529542585215,0.30605154520372546,1.4458875894546508,1.462458796524771,1.4293163823845305,4.123652005195618,4.160643516956602,4.086660493434634
50,0.016414515022188374,0.01675305922520437,0.016075970819172378,0.3035910904407501,0.30872779957822777,0.29845438130327245,1.411759090423584,1.4274857238105885,1.3960324570365794,4.0782602548599245,4.115094279247992,4.041426230471857
