iter,data_n_clusters_2.0_mean,data_n_clusters_2.0_upper,data_n_clusters_2.0_lower,data_n_clusters_3.0_mean,data_n_clusters_3.0_upper,data_n_clusters_3.0_lower,data_n_clusters_5.0_mean,data_n_clusters_5.0_upper,data_n_clusters_5.0_lower,data_n_clusters_10.0_mean,data_n_clusters_10.0_upper,data_n_clusters_10.0_lower
24,0.578442245721817,0.5820187393606502,0.5748657520829838,0.9899072587490082,0.9961726372585541,0.9836418802394623,1.456543207168579,1.4644137401368567,1.4486726742003015,1.687026047706604,1.6982921650523766,1.6757599303608313
25,0.5303359031677246,0.5340295252783442,0.526642281057105,0.9354982793331146,0.942614126279074,0.9283824323871551,1.3943650603294373,1.4023378412130385,1.386392279445836,1.637840950489044,1.650568441039397,1.6251134599386912
26,0.48533294200897215,0.4889180251976909,0.4817478588202534,0.8833792209625244,0.8901416510149319,0.8766167909101169,1.3427242755889892,1.3507190415268573,1.3347295096511211,1.600940179824829,1.6130926098539242,1.588787749795734
27,0.4464863300323486,0.4494268288737067,0.4435458311909905,0.8299120545387269,0.8359231587162897,0.823900950361164,1.2921124935150146,1.3015097744633373,1.2827152125666919,1.5604035258293152,1.5730602196159096,1.5477468320427208
28,0.4096009522676468,0.4122986343017019,0.40690327023359174,0.7834171295166016,0.788976762997409,0.7778574960357941,1.2410826921463012,1.2502125238252948,1.2319528604673076,1.5239286065101623,1.536262445506075,1.5115947675142496
29,0.37614651322364806,0.37915189751044953,0.3731411289368466,0.7425310015678406,0.7490773005886802,0.735984702547001,1.1959526181221007,1.2058091081546096,1.1860961280895919,1.4867958664894103,1.4998189865834508,1.4737727463953698
30,0.3456732541322708,0.348546370158659,0.34280013810588256,0.7037302315235138,0.7109240865944075,0.69653637645262,1.1528676748275757,1.1612256175712465,1.1445097320839048,1.4539055705070496,1.4659592697376502,1.441851871276449
31,0.31830198168754575,0.320945421321647,0.3156585420534445,0.6671230673789978,0.6741697701392104,0.6600763646187853,1.116172182559967,1.1254281671895616,1.1069161979303725,1.4222011804580688,1.4346348743946526,1.4097674865214849
32,0.29288770556449883,0.2952890029950126,0.2904864081339851,0.6360207617282867,0.643972832063742,0.6280686913928314,1.0795253396034241,1.0876403308659326,1.0714103483409156,1.3926944375038146,1.4055159980316745,1.3798728769759547
33,0.2706364542245865,0.27317261953182526,0.2681002889173477,0.6051309704780579,0.6124995525809561,0.5977623883751596,1.0447404444217683,1.0521930378695283,1.0372878509740082,1.3647008776664733,1.3752825909667095,1.3541191643662371
34,0.2511853829026222,0.2535722721329882,0.24879849367225618,0.5799475729465484,0.5880662204024283,0.5718289254906685,1.0152525067329408,1.0224931460879199,1.0080118673779617,1.3428213357925416,1.3533322561637722,1.332310415421311
35,0.2331483200192451,0.23566292485146692,0.23063371518702327,0.553586894273758,0.5613122834209923,0.5458615051265236,0.9881060242652893,0.9961897294733296,0.9800223190572489,1.3172906398773194,1.3271389546171402,1.3074423251374987
36,0.2187997430562973,0.22187635172578424,0.21572313438681034,0.531414070725441,0.5390225394609581,0.5238056019899239,0.9566160202026367,0.9644362066534524,0.948795833751821,1.293862783908844,1.3024058923924384,1.2853196754252494
