iter,data_noise_weight_0.1_mean,data_noise_weight_0.1_upper,data_noise_weight_0.1_lower,data_noise_weight_0.5_mean,data_noise_weight_0.5_upper,data_noise_weight_0.5_lower,data_noise_weight_1.0_mean,data_noise_weight_1.0_upper,data_noise_weight_1.0_lower,data_noise_weight_1.5_mean,data_noise_weight_1.5_upper,data_noise_weight_1.5_lower
43,0.4083398401737213,0.4134048022743141,0.40327487807312856,0.5271964013576508,0.5325151362598634,0.5218776664554382,0.9737117111682891,0.983439515182184,0.9639839071543943,1.7135300040245056,1.725795315393468,1.7012646926555433
44,0.3957245975732803,0.4008136980559944,0.3906354970905662,0.5134609192609787,0.5184608018033428,0.5084610367186146,0.9587152183055878,0.9675927569800457,0.94983767963113,1.695767056941986,1.7085310886574716,1.6830030252265005
45,0.38470805883407594,0.3898601722465203,0.37955594542163157,0.5044347912073135,0.5098041786931715,0.4990654037214554,0.9487500011920929,0.9569184784208995,0.9405815239632862,1.692785668373108,1.7032500755820492,1.6823212611641667
46,0.37375043034553523,0.3786617450212678,0.36883911566980265,0.494413697719574,0.4991311811349804,0.4896962143041676,0.9392406523227692,0.9473735523912029,0.9311077522543355,1.6869197607040405,1.697477263280059,1.676362258128022
47,0.3617905914783478,0.36597175881311766,0.35760942414357794,0.4834548234939575,0.4882520898253974,0.4786575571625176,0.9273770868778228,0.9340173814527559,0.9207367923028897,1.6761502027511597,1.6859893768750729,1.6663110286272464
48,0.35480457842350005,0.3595149679791133,0.3500941888678868,0.4775027930736542,0.48198685065819225,0.4730187354891161,0.9243015944957733,0.9306286900854773,0.9179744989060693,1.6664093732833862,1.6747823796439238,1.6580363669228486
49,0.3462808758020401,0.3509485547895696,0.3416131968145106,0.4707715749740601,0.4753196765204871,0.46622347342763304,0.923992270231247,0.9309002777199928,0.9170842627425011,1.6702460169792175,1.6790911157317634,1.6614009182266716
50,0.3382949739694595,0.3425786066410663,0.3340113412978527,0.464469239115715,0.46866182271679985,0.4602766555146302,0.9171502113342285,0.9237481841608357,0.9105522385076212,1.6643537402153015,1.673864212029457,1.654843268401146
51,0.3293437987565994,0.3346835369101108,0.324004060603088,0.4542853504419327,0.4592827496206242,0.44928795126324117,0.9056946754455566,0.9134880058813107,0.8979013450098025,1.6495110750198365,1.6604482172043433,1.6385739328353297
52,0.32297325134277344,0.3281662810727547,0.3177802216127922,0.44937379062175753,0.4548002496981685,0.44394733154534655,0.8989932656288147,0.9064848776619445,0.8915016535956848,1.6437164068222045,1.6552651752322345,1.6321676384121746
53,0.316442409157753,0.32199464817694384,0.3108901701385622,0.4440334290266037,0.45003450613771045,0.43803235191549694,0.8969007790088653,0.9040140430584802,0.8897875149592505,1.6434863209724426,1.6525990640386432,1.634373577906242
54,0.30783058106899264,0.31326682996548444,0.30239433217250083,0.43648519515991213,0.44253667869111896,0.4304337116287053,0.8912459194660187,0.8983730853758433,0.8841187535561942,1.641752576828003,1.650363677709809,1.633141475946197
55,0.30011307001113885,0.3050784458214952,0.2951476942007825,0.42869765758514405,0.43306361097112783,0.4243317041991603,0.8838940024375915,0.890382332357826,0.877405672517357,1.6385220289230347,1.6484643931299099,1.6285796647161594
56,0.2945471078157425,0.29903614029857073,0.2900580753329143,0.4243122488260269,0.4280450473696768,0.42057945028237703,0.8764248371124268,0.8820076406948278,0.8708420335300258,1.631008231639862,1.6403200575813421,1.6216964056983818
57,0.28979267179965973,0.2941881085539896,0.2853972350453299,0.41808734834194183,0.4219978896119006,0.41417680707198307,0.8702384233474731,0.8766264525372534,0.8638503941576929,1.6262364506721496,1.634256063395394,1.6182168379489053
58,0.2821366786956787,0.2868110040189265,0.2774623533724309,0.4115955948829651,0.41573003386610635,0.40746115589982385,0.8658489048480987,0.8720603819909976,0.8596374277051999,1.6225785970687867,1.6287373972731203,1.6164197968644531
