iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.689003142217795,0.4598357677459717,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.2793008914838235,0.49639424681663513,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.20141133790214857,0.515324592590332,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.10766073355140786,0.526141881942749,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.12340733362361789,0.5334535837173462,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.0854149698279798,0.5401642918586731,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.06550529265465836,0.5444712042808533,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.05063429963774979,0.5472756624221802,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.04100277490215376,0.5504807829856873,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.022422559869786102,0.5480769872665405,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.0410829089426746,0.5549880266189575,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.028550167257587116,0.5571916103363037,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.0385951223045898,0.557391881942749,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.027430288115283474,0.5623999238014221,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.020209259731927887,0.5630009174346924,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.018329194320055347,0.5681089758872986,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.023871200673359756,0.5675080418586731,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.017680430649003636,0.5685096383094788,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.022703353946174804,0.5681090354919434,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.017921690732085455,0.5679087042808533,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.008311963635302769,0.5746194124221802,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.013015126411725456,0.5698118209838867,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.015422034021563983,0.5754207372665405,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.0037047487348900177,0.5756210684776306,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.010869845561198114,0.5749198794364929,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.007750692120074139,0.575120210647583,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.008895313481237585,0.5750200152397156,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.005456281546988369,0.5787259340286255,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.016137515580339823,0.5815305113792419,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.005684661630463476,0.5807291865348816,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
