iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7781547531485558,0.4424583613872528,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.3265270162373781,0.4770417809486389,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.267663371283561,0.49620839953422546,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.21162522972250977,0.5011667013168335,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.1727396531496197,0.5080833435058594,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.1071774607989937,0.5304583311080933,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.08686057850718498,0.5272915959358215,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.13349728740286082,0.53020840883255,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.12762618381141996,0.5222916603088379,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.08315017664184172,0.5392084121704102,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.0673949836442868,0.5420417785644531,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.055948330264072865,0.5435834527015686,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.0298972756039196,0.5487083792686462,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.049952810998850815,0.545875072479248,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.09039684410284583,0.5381667613983154,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.04492660684627481,0.548583447933197,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.045135319514277704,0.5450833439826965,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.07375377161952201,0.5427917242050171,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.041629312453248225,0.5510834455490112,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.03504496475701065,0.5508750677108765,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.04487135114322882,0.5514167547225952,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.04839318769033222,0.5504167079925537,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.03368977046678386,0.5576250553131104,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.030453278772862784,0.5555000305175781,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.06024847179893792,0.547333300113678,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.02561967179644853,0.5563749670982361,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.04463383740221616,0.5586251020431519,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.05955020372978955,0.5487916469573975,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.019739379136202235,0.5648333430290222,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.045678421534830704,0.5555001497268677,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
