iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.9403159941236178,0.3889167010784149,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.5130667562286059,0.41187500953674316,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.33232117630541325,0.4360834062099457,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.3062824464092652,0.429458349943161,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.1716754537386199,0.4412083625793457,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.19847558570715287,0.43675005435943604,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.18455847057824334,0.44291672110557556,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.20878875441849232,0.44704172015190125,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.131673089422596,0.45700007677078247,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.09257912717293948,0.46062493324279785,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.0936363927515534,0.45845839381217957,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.08375562422831233,0.4633333683013916,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.05273573651599387,0.4668750762939453,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.08737382585726057,0.4640832841396332,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.06099760614840003,0.4656667411327362,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.08182115392022145,0.4674583375453949,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.07390208316792268,0.4673333764076233,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.07368195774809767,0.47270840406417847,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.06088996153266635,0.4740000367164612,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.0817465871417274,0.46354174613952637,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.04001481965436445,0.4754999876022339,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.008472327899653465,0.48225006461143494,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.0882032988544476,0.47179168462753296,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.021540069952607155,0.47987502813339233,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.030287658281546708,0.486458420753479,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.06451481311523821,0.4694167971611023,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.049547292677743826,0.4776250123977661,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.015350382454926148,0.4819583594799042,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.024972919263139676,0.48354169726371765,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.022257692549222458,0.48179173469543457,24,24,500,1000,0.0,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
