iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.9104014461239179,0.4280416965484619,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
1,0.48422808448473614,0.45575007796287537,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
2,0.34368489993115264,0.45879173278808594,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
3,0.28260662717123824,0.47333329916000366,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
4,0.2370342224215468,0.4749166667461395,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
5,0.19454493870337805,0.4811250567436218,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
6,0.17522447214772305,0.4830000400543213,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
7,0.15189438794429103,0.4827500283718109,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
8,0.15527573569367328,0.4828749895095825,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
9,0.10228412800158064,0.4876250922679901,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
10,0.11433950943561892,0.4909999966621399,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
11,0.10630514123477042,0.48770833015441895,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
12,0.08706545014865696,0.48995840549468994,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
13,0.07457686075940728,0.49308332800865173,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
14,0.08660380837197106,0.48983341455459595,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
15,0.08417342983496685,0.4871250092983246,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
16,0.07979757094290107,0.4820833206176758,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
17,0.06885103485547006,0.4855833649635315,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
18,0.05463495497436573,0.49275004863739014,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
19,0.050943018325294055,0.4935000538825989,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
20,0.042331306651855506,0.4969167113304138,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
21,0.049101801007054746,0.49495840072631836,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
22,0.036348102536673345,0.49958333373069763,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
23,0.02747798423903684,0.5002084374427795,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
24,0.0353010743468379,0.4930000901222229,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
25,0.047468259620169796,0.4880000948905945,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
26,0.027920718304812908,0.5002917051315308,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
27,0.02841366777041306,0.4974166750907898,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
28,0.02957727046062549,0.49133336544036865,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
29,0.022861414491975058,0.4930417537689209,24,4,500,1000,15.0,7,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
