iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.9349202290177345,0.4284583330154419,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
1,0.5256830006837845,0.44733333587646484,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
2,0.40121478649477166,0.4545833468437195,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
3,0.2863410258044799,0.46541672945022583,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
4,0.2838971707969904,0.4675832986831665,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
5,0.20945782711108527,0.4752916991710663,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
6,0.16838728419194618,0.47970837354660034,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
7,0.15818488039076328,0.48320838809013367,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
8,0.15242386935278773,0.48366665840148926,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
9,0.11309163893262546,0.4793750047683716,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
10,0.0928098998653392,0.49279171228408813,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
11,0.09609578192854921,0.4852916896343231,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
12,0.11730944567049544,0.486750066280365,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
13,0.09427486654991905,0.4853334128856659,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
14,0.08651385991834104,0.49554169178009033,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
15,0.06684390447723369,0.4935416877269745,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
16,0.06000438379123807,0.4907500445842743,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
17,0.057584671303629875,0.49379169940948486,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
18,0.05743144483615955,0.4928334355354309,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
19,0.05307260400149971,0.4910416603088379,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
20,0.052252516228084765,0.49516671895980835,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
21,0.046229755079063274,0.4972916841506958,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
22,0.046757249743677676,0.4942917227745056,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
23,0.0402767927153036,0.4880000054836273,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
24,0.03114052547607571,0.49387502670288086,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
25,0.03913578932406381,0.48633331060409546,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
26,0.034411998465657234,0.4942500591278076,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
27,0.03624390003581842,0.48745840787887573,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
28,0.026950014832740028,0.48958343267440796,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
29,0.029902150214184076,0.48879170417785645,24,4,500,1000,60.0,4,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
