iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,1.991115391254425,0.23112502694129944,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
1,1.7244151333967845,0.34279173612594604,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
2,1.6658416539430618,0.35908329486846924,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
3,1.5250848631064098,0.38854163885116577,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
4,1.4646613250176113,0.398041695356369,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
5,1.2984568824370701,0.4358333349227905,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
6,1.2440070509910583,0.44045841693878174,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
7,1.180684934059779,0.4499583840370178,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
8,1.111939661204815,0.4605833888053894,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
9,1.0599328527847927,0.47104164958000183,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
10,1.0065280869603157,0.47800004482269287,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
11,0.9503949582576752,0.48645836114883423,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
12,0.9090010846654574,0.4887083172798157,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
13,0.8707272410392761,0.49258339405059814,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
14,0.8312608102957407,0.4957916736602783,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
15,0.8067072952787081,0.4962916970252991,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
16,0.7580470591783524,0.502666711807251,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
17,0.7195482303698858,0.5068333148956299,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
18,0.6971972733736038,0.5061666965484619,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
19,0.6785291234652201,0.5063749551773071,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
20,0.6426210775971413,0.5105834007263184,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
21,0.6269898824393749,0.5079166889190674,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
22,0.5895077399909496,0.5130000114440918,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
23,0.5693831021587054,0.5140833854675293,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
24,0.5485900739828745,0.5128750205039978,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
25,0.5216660313308239,0.5173333883285522,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
26,0.5054365682105223,0.5162916779518127,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
27,0.4799620509147644,0.5202500820159912,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
28,0.4585378554960092,0.5209167003631592,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
29,0.4364342341820399,0.5217917561531067,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
