iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,1.8849710474411647,0.3331332802772522,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
1,1.5191617012023926,0.42276912927627563,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
2,1.407626986503601,0.45493197441101074,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
3,1.2817676017681758,0.4838435649871826,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
4,1.1482993414004643,0.5148059129714966,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
5,1.0875607505440712,0.525760293006897,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
6,1.0132675593098004,0.5374149084091187,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
7,0.9535470480720202,0.5486195087432861,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
8,0.9009122202793757,0.5570228099822998,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
9,0.851809506615003,0.5613746047019958,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
10,0.8015704477826754,0.5715285539627075,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
11,0.7758099933465322,0.572178840637207,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
12,0.7338545347253481,0.5765305757522583,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
13,0.6935521985093752,0.5776810646057129,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
14,0.6669166361292204,0.5806822180747986,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
15,0.6349518125255903,0.5839835405349731,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
16,0.5971267645557722,0.588585376739502,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
17,0.5789556950330734,0.5860344171524048,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
18,0.5476098445554575,0.5900360345840454,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
19,0.5233563060561816,0.5917867422103882,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
20,0.49692072346806526,0.5944878458976746,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
21,0.47590622678399086,0.5948379039764404,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
22,0.4543999532858531,0.5967386960983276,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
23,0.43130405619740486,0.5978891253471375,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
24,0.41073401520649594,0.5992896556854248,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
25,0.3917470487455527,0.601390540599823,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
26,0.3752935441831748,0.6014405488967896,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
27,0.356468149771293,0.6007403135299683,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
28,0.341234527528286,0.601990818977356,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
29,0.3250398375093937,0.6043418049812317,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,2
