iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,1.9182892392079036,0.29587501287460327,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
1,1.6320828348398209,0.38079172372817993,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
2,1.5917451580365498,0.38579171895980835,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
3,1.4572803874810536,0.41545841097831726,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
4,1.380865861972173,0.4305833578109741,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
5,1.2801144470771153,0.45091673731803894,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
6,1.158435121178627,0.4727916717529297,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
7,1.1156443829337757,0.4778749942779541,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
8,1.0672555814186733,0.4800416827201843,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
9,0.9874494050939878,0.4933333396911621,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
10,0.9414629315336546,0.4985834062099457,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
11,0.895406554142634,0.5048332810401917,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
12,0.857870563864708,0.5084167718887329,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
13,0.8129489049315453,0.5101250410079956,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
14,0.7860562403996786,0.5082083344459534,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
15,0.7424755419294039,0.5133750438690186,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
16,0.7086939389506975,0.5190833806991577,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
17,0.6741973385214806,0.517541766166687,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
18,0.6490203688542048,0.5203750133514404,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
19,0.6142009943723679,0.5239167809486389,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
20,0.5878994688391685,0.5243750810623169,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
21,0.5561828141411146,0.5268333554267883,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
22,0.5282393805682659,0.5282500386238098,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
23,0.5074180203179518,0.5279583930969238,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
24,0.4841463826596737,0.5287083983421326,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
25,0.4609856531023979,0.5282917022705078,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
26,0.4368853655954202,0.5319166779518127,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
27,0.4140341728925705,0.5302083492279053,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
28,0.3947242498397827,0.5322500467300415,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
29,0.37545649458964664,0.5318750143051147,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
