iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,1.5075772951046627,0.4544271230697632,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
1,1.1922124922275543,0.5485777854919434,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
2,1.1103722304105759,0.5766226649284363,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
3,1.0349918206532795,0.5983574390411377,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
4,0.9605192840099335,0.6100761890411377,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
5,0.8961764598886172,0.6265024542808533,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
6,0.831432950993379,0.6336137652397156,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
7,0.7891187220811844,0.6396234631538391,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
8,0.7346151024103165,0.644230842590332,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
9,0.6967274521787962,0.65234375,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
10,0.6438407475749651,0.6558494567871094,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
11,0.6070898522933325,0.6565505266189575,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
12,0.5725075180331866,0.6612580418586731,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
13,0.5386749108632406,0.6626603603363037,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
14,0.5084042375286421,0.6659656167030334,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
15,0.4815552992125352,0.6687700748443604,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
16,0.4504847625891368,0.670973539352417,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
17,0.42481956630945206,0.6711739301681519,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
18,0.3978862191239993,0.6731771230697632,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
19,0.37851040437817574,0.6732772588729858,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
20,0.35082686444123584,0.6752805113792419,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
21,0.3306693844497204,0.6751803755760193,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
22,0.31060020811855793,0.678485631942749,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
23,0.29390451808770496,0.6782853007316589,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
24,0.2758248982330163,0.6796874403953552,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
25,0.2591729561487834,0.6783854365348816,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
26,0.24174783565104008,0.679387092590332,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
27,0.2293355024109284,0.6787861585617065,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
28,0.21432612588008246,0.681790828704834,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
29,0.2021500530342261,0.6812900900840759,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
