iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,2.1774422228336334,0.16308335959911346,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
1,2.1825202802817025,0.19941672682762146,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
2,2.093799447019895,0.23787501454353333,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
3,2.0348571042219796,0.2508750557899475,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
4,1.9341151714324951,0.26875001192092896,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
5,1.8223018149534862,0.2914167046546936,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
6,1.7172947973012924,0.32100003957748413,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
7,1.7003641823927562,0.3193333148956299,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
8,1.6514654010534286,0.3291250169277191,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
9,1.5878208428621292,0.34291669726371765,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
10,1.5340364972750347,0.3523750305175781,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
11,1.451664462685585,0.369375079870224,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
12,1.4519643932580948,0.3675000071525574,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
13,1.4021070698897045,0.37679165601730347,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
14,1.3580581198136012,0.38054168224334717,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
15,1.3182367781798046,0.3914167284965515,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
16,1.2804210285345714,0.39629167318344116,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
17,1.2366322527329128,0.4023333787918091,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
18,1.2107562869787216,0.4045000672340393,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
19,1.1865501701831818,0.4047917127609253,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
20,1.1585999081532161,0.4102083444595337,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
21,1.1238351960976918,0.4162916839122772,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
22,1.1013486335674922,0.4178333282470703,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
23,1.088180127243201,0.4177500605583191,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
24,1.0632638707756996,0.41975003480911255,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
25,1.035864181816578,0.4232916831970215,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
26,1.0087929715712864,0.4274999797344208,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
27,0.9867741987109184,0.4283333718776703,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
28,0.976909431318442,0.42729172110557556,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
29,0.9593111947178841,0.4306250810623169,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
