iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,1.8322633653879166,0.38155263662338257,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
1,1.4278074751297634,0.4612845182418823,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
2,1.3043783108393352,0.4919466972351074,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
3,1.1997768531243007,0.5200080275535583,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
4,1.14894234140714,0.5282612442970276,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
5,1.0598700071374576,0.5434674024581909,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
6,0.9958077967166901,0.5505201816558838,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
7,0.9384273141622543,0.5635753870010376,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
8,0.8797163218259811,0.5707783699035645,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
9,0.8319546903173128,0.575830340385437,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
10,0.7862497170766195,0.5792816877365112,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
11,0.7508558680613836,0.5843337774276733,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
12,0.7089883362253507,0.5897359848022461,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
13,0.6705698321262995,0.5915365815162659,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
14,0.6370552554726601,0.5942877531051636,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
15,0.6065739467740059,0.5959383845329285,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
16,0.5695487521588802,0.5987895131111145,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
17,0.545163327207168,0.6014906167984009,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
18,0.5199695080518723,0.6021407842636108,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
19,0.49091075733304024,0.6054922342300415,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
20,0.46530604362487793,0.6056422591209412,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
21,0.4404546121756236,0.6073429584503174,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
22,0.42188094804684323,0.6093937754631042,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
23,0.39826324333747226,0.6087934970855713,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
24,0.3809637402494748,0.6095938086509705,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
25,0.3594573736190796,0.6127451062202454,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
26,0.33685253622631234,0.6128451824188232,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
27,0.3179762295136849,0.6131952404975891,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
28,0.30338225079079467,0.6134954690933228,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
29,0.28556031299134094,0.6146458387374878,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
