iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,1.871204783519109,0.29591670632362366,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
1,1.5985470960537593,0.38858336210250854,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
2,1.5264068692922592,0.40987497568130493,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
3,1.43303948144118,0.4258333444595337,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
4,1.3394550035397212,0.4439583420753479,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
5,1.2426711171865463,0.46629178524017334,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
6,1.1972925265630086,0.4674583673477173,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
7,1.0829706490039825,0.4897083640098572,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
8,1.046903672317664,0.49387499690055847,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
9,1.00006765127182,0.49979168176651,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
10,0.9308001001675924,0.505000114440918,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
11,0.9002337430914243,0.5065000653266907,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
12,0.8352281699577967,0.5142499804496765,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
13,0.8002573698759079,0.5156249403953552,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
14,0.7711280783017477,0.5168334245681763,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
15,0.7260781029860178,0.5225416421890259,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
16,0.7081130792697271,0.5222083926200867,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
17,0.6549089774489403,0.5265001058578491,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
18,0.6261124660571417,0.5295417308807373,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
19,0.6058985739946365,0.5260833501815796,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
20,0.5751762414971987,0.5291250348091125,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
21,0.5390846071143945,0.5327084064483643,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
22,0.51888374487559,0.5321249961853027,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
23,0.48825443784395856,0.5359583497047424,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
24,0.46541856850186986,0.536458432674408,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
25,0.44631916532913846,0.5356250405311584,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
26,0.42534411574403447,0.5372917056083679,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
27,0.4051111464699109,0.5369583964347839,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
28,0.37985123073061305,0.536333441734314,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
29,0.36370260640978813,0.5389583706855774,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
