iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,2.113516926765442,0.24369749426841736,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
1,1.9978402356306713,0.27500998973846436,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
2,1.9345762133598328,0.2942676842212677,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
3,1.7550644129514694,0.34633857011795044,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
4,1.6842142442862194,0.35904359817504883,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
5,1.597658892472585,0.38475388288497925,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
6,1.5408850262562435,0.3972588777542114,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
7,1.4700674017270405,0.41466590762138367,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
8,1.396810660759608,0.4307723641395569,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
9,1.3633231570323308,0.4377250671386719,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
10,1.295981153845787,0.44932979345321655,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
11,1.2497628678878148,0.4591836631298065,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
12,1.2427605638901393,0.455832302570343,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
13,1.2026935617129009,0.46393558382987976,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
14,1.1648340125878651,0.4701380729675293,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
15,1.1184318959712982,0.47749096155166626,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
16,1.097312718629837,0.4826430678367615,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
17,1.0652521749337514,0.4858942925930023,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
18,1.0430220688382785,0.4874950349330902,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
19,1.0109450767437618,0.49419769644737244,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
20,1.0019980197151501,0.49254700541496277,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
21,0.9792144472400347,0.4945478141307831,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
22,0.9530391419927279,0.4980992078781128,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
23,0.933776780962944,0.49709880352020264,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
24,0.9056436518828074,0.5017507076263428,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
25,0.8768617634971937,0.506102442741394,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
26,0.8687600493431091,0.5041016340255737,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
27,0.845596137146155,0.5085533261299133,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
28,0.8313511063655218,0.508853554725647,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
29,0.8090505078434944,0.5132552981376648,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,1
