iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,1.771875446041425,0.3786514401435852,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
1,1.4207360247770946,0.46323534846305847,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
2,1.3445158054431279,0.4834933876991272,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
3,1.2283710986375809,0.5077530741691589,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
4,1.183316931128502,0.5169067978858948,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
5,1.0883319104711215,0.5368146896362305,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
6,1.027939071257909,0.5475189685821533,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
7,0.9591993242502213,0.5569226741790771,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
8,0.9022904559969902,0.5622748732566833,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
9,0.8535744125644366,0.5665766000747681,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
10,0.815581813454628,0.573179304599762,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
11,0.7676012789209684,0.5793317556381226,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
12,0.7178425615032514,0.5832333564758301,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
13,0.689840075870355,0.5838334560394287,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
14,0.6437927434841791,0.5893857479095459,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
15,0.617820161084334,0.5915366411209106,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
16,0.5833618442217509,0.5949879884719849,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
17,0.5548935234546661,0.596188485622406,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
18,0.5227295110623041,0.5974889993667603,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
19,0.4956396246949832,0.6017407178878784,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
20,0.4718310522536437,0.6034413576126099,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
21,0.4433852930863698,0.6045918464660645,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
22,0.42304427549242973,0.6045918464660645,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
23,0.4020567995806535,0.6064926385879517,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
24,0.37933337936798733,0.6088435649871826,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
25,0.35932374373078346,0.60874342918396,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
26,0.339276356001695,0.6098439693450928,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
27,0.32048223726451397,0.6122949123382568,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
28,0.30116333564122516,0.6111944913864136,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
29,0.284617368131876,0.6130452156066895,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,4
