iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.6916789064804714,0.3345833718776703,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
1,1.0989478180805843,0.48233339190483093,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
2,0.8520220244924227,0.5118750929832458,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
3,0.6519563247760137,0.5354167222976685,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
4,0.5313695780932903,0.5406666398048401,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
5,0.44275010004639626,0.546916663646698,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
6,0.3335417943696181,0.5577083826065063,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
7,0.2906653080135584,0.5552083849906921,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
8,0.2206961571549376,0.5580834150314331,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
9,0.17365820985287428,0.5607500076293945,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
10,0.9926314130425453,0.4540833830833435,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
11,0.7899717370358607,0.4807916283607483,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
12,0.674495920073241,0.4831666350364685,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
13,0.5730743818373109,0.49220842123031616,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
14,0.48869084174900007,0.4962500035762787,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
15,0.41818635487773764,0.4986250400543213,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
16,0.36776682100025937,0.5015833973884583,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
17,0.31962164825138945,0.502791702747345,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
18,0.2799903414173362,0.5042084455490112,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
19,0.2458407119459783,0.5060417652130127,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
20,0.21937229308726577,0.5062500238418579,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
21,0.19263741061634695,0.5079166889190674,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
22,0.16552762530045584,0.5087083578109741,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
23,0.14358096131278822,0.5088750123977661,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
24,0.1284230282471981,0.5092084407806396,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
25,0.11192552677433316,0.5102083683013916,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
26,0.10101605056843255,0.5120417475700378,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
27,0.08807027857013357,0.5123333930969238,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
28,0.07682820224241975,0.512291669845581,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
29,0.06935557943749397,0.5129168033599854,24,4,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,4,,30,10
