iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.7119318346182506,0.32975003123283386,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
1,1.356134792168935,0.38116663694381714,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
2,1.0573607409993808,0.42200005054473877,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
3,0.9383683775862058,0.4333750009536743,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
4,0.7322700619697571,0.4558333158493042,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
5,0.6246315116683642,0.4571250379085541,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
6,0.5477448310703039,0.4655000567436218,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
7,0.4477594122290611,0.4721667170524597,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
8,0.39153349213302135,0.47691673040390015,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
9,0.3377037063861887,0.47950002551078796,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
10,0.2703001418461402,0.48337507247924805,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
11,0.2490108786150813,0.4824584126472473,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
12,0.19589795249824724,0.4890417456626892,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
13,0.1685360431826363,0.48679161071777344,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
14,0.14317090475621322,0.4895833730697632,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
15,0.9258485827837527,0.44312500953674316,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
16,0.7742630443584252,0.46549999713897705,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
17,0.6622704621889474,0.4759584069252014,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
18,0.5733437233842172,0.48041674494743347,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
19,0.5025691383198136,0.483833372592926,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
20,0.4358101432274755,0.4877917468547821,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
21,0.3844222715148741,0.4895833432674408,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
22,0.34168420079974265,0.4924583435058594,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
23,0.29482588859294384,0.49291670322418213,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
24,0.26219975787898875,0.492041677236557,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
25,0.2296024521177363,0.49533340334892273,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
26,0.2027420753208086,0.4945417046546936,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
27,0.17999534216020643,0.49662500619888306,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
28,0.16091321479325416,0.49795836210250854,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
29,0.13946916682834853,0.49762505292892456,24,4,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,4,,30,10
