iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.7943391675750415,0.30408334732055664,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
1,1.323628195716689,0.40375006198883057,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
2,1.0890094241282593,0.4450833797454834,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
3,0.919476333578738,0.4674167037010193,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
4,0.8193235973691723,0.47175002098083496,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
5,0.6792418790282682,0.48620840907096863,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
6,0.6130030732407855,0.48516666889190674,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
7,0.5032081456544498,0.49891671538352966,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
8,0.4437763845732358,0.49925005435943604,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
9,0.3645515220123343,0.5045833587646484,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
10,0.3268664572387934,0.5073333978652954,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
11,0.27542112351026543,0.5107500553131104,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
12,0.23972383230769387,0.5122917294502258,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
13,0.20402148085607527,0.5140417218208313,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
14,0.18194147270211639,0.5138334035873413,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
15,0.17030618195227967,0.513374924659729,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
16,0.13294341589304773,0.5171250104904175,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
17,0.11251375335996272,0.5167083740234375,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
18,0.09968430410420599,0.518208384513855,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
19,0.08739331853818537,0.518833339214325,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
20,0.9223691749696931,0.45212501287460327,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
21,0.6984575727644066,0.48504167795181274,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
22,0.5688613214685271,0.494625061750412,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
23,0.4418258701916784,0.4985833168029785,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
24,0.37345760556248325,0.5035417079925537,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
25,0.3380088191091393,0.49929165840148926,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
26,0.26593920192681253,0.5074583292007446,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
27,0.23082462147188684,0.5072917342185974,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
28,0.19362204056233168,0.5082500576972961,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
29,0.1654141618249317,0.5106667280197144,24,4,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,4,,30,10
