iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R,algo_R_local
0,84.08122,92.0314712524414,9.267756462097168,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
1,72.62465,84.0302505493164,8.46781063079834,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
2,62.772617,76.80061340332031,7.745687961578369,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
3,54.40237,70.30801391601562,7.096868515014648,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
4,47.312057,64.64944458007812,6.529485702514648,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
5,41.16538,59.48112869262695,6.011992931365967,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
6,35.948105,54.81998062133789,5.543833255767822,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
7,31.492455,50.633480072021484,5.12306022644043,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
8,27.630514,46.907230377197266,4.746489524841309,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
9,24.361662,43.445953369140625,4.397182464599609,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
10,21.497576,40.30332946777344,4.079774379730225,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
11,19.000881,37.47169494628906,3.7949960231781006,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
12,16.853289,34.87049102783203,3.5333168506622314,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
13,14.969842,32.439884185791016,3.288261890411377,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
14,13.3498535,30.25743865966797,3.06679105758667,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
15,11.919906,28.305709838867188,2.868349313735962,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
16,10.661396,26.4654483795166,2.6813061237335205,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
17,9.575608,24.832651138305664,2.515986442565918,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
18,8.606084,23.285324096679688,2.3583006858825684,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
19,7.7519765,21.862211227416992,2.2132198810577393,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
20,6.983519,20.503875732421875,2.074655771255493,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
21,6.3026476,19.240997314453125,1.9459306001663208,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
22,5.7008157,18.074434280395508,1.8267784118652344,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
23,5.170997,17.00094985961914,1.7166776657104492,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
24,4.698225,15.990034103393555,1.612708568572998,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
25,4.2743344,15.043198585510254,1.5153307914733887,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
26,3.8951936,14.212348937988281,1.4300616979599,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
