iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.8572193657358487,0.2811667323112488,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.4162703178978215,0.37054166197776794,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.3075073807655524,0.38320833444595337,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,1.1889016856827463,0.40412506461143494,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,1.0581707327898282,0.4163333773612976,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.9632682006728525,0.4254583716392517,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.8656996512824359,0.4305000305175781,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.8240955526707694,0.42912501096725464,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.7499084843390543,0.43579167127609253,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.6586482402829764,0.44516658782958984,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.6141858314707255,0.44595837593078613,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.5697735611902317,0.4442916512489319,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.5054195635020733,0.4493333697319031,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.4776537585639744,0.44954174757003784,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.4329103778921611,0.4509999752044678,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.4067977600255593,0.45120832324028015,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.3562083119516804,0.4557916820049286,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.3492769869675006,0.453041672706604,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.29260650031937985,0.45758339762687683,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.2736893191031413,0.4580833613872528,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.2679413269967578,0.4534166753292084,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.22310603745669746,0.4589167535305023,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.20608963071451095,0.4570000171661377,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.1974355035830134,0.4566667079925537,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.1707147426204756,0.45891672372817993,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.15281515702736215,0.4596250653266907,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.14294651275122305,0.4580416679382324,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.12918743815316702,0.4591667056083679,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.12890042703899476,0.4576666057109833,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.10781578485208836,0.4583749771118164,24,4,500,1000,15.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
