iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.7181527366240819,0.3475000262260437,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.353910247484843,0.38741669058799744,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.0953498755892117,0.41854172945022583,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.877685454984506,0.4447084069252014,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.7670524008572102,0.44737493991851807,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.6212977655231953,0.45879170298576355,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.5733501104017099,0.45479172468185425,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.45424298383295536,0.4655001163482666,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.4118625322977702,0.4674583673477173,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.3470425360525648,0.46933338046073914,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.2864483706653118,0.4723750352859497,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.2534597562626004,0.4697917103767395,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.22296914303054413,0.47099995613098145,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.1869421579564611,0.47266674041748047,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.15147521750380596,0.47562503814697266,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.1324572303177168,0.4753333330154419,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.11144619745512803,0.476333349943161,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.0954388736281544,0.4749583601951599,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.08658118934060137,0.47345834970474243,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.07244815425171207,0.4760417640209198,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.07000543763084958,0.47679173946380615,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.05480555247049779,0.4767082929611206,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.04654347741355499,0.4762499928474426,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.04187735682353377,0.47595834732055664,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.03917409962741658,0.4775833785533905,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.03287455579265952,0.47754165530204773,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.02898900560103357,0.4773750305175781,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.026867360846760373,0.47704169154167175,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.023270187123368185,0.47854170203208923,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.02117664853964622,0.4788333773612976,24,4,500,1000,30.0,0,"(3, 32, 32)",10,0.03,0.99,4,30,10
