iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.8346728483835857,0.2891666889190674,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.3523004204034805,0.37950000166893005,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.1019702615837257,0.40804165601730347,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.9557647009690603,0.4205000400543213,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.7824804310997328,0.4339582920074463,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.66447530935208,0.43979164958000183,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.5748307468990485,0.4451250731945038,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.5060898630569378,0.4464167058467865,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.42609572131186724,0.45104166865348816,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.3745648602489382,0.4487916827201843,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.32721112909105915,0.4506250321865082,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.2729817801931252,0.4544583559036255,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.22821803158149123,0.4557916522026062,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.22097091563045979,0.45616671442985535,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.17365299592105052,0.4582917392253876,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.14709642374267182,0.45741674304008484,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.12040202372008935,0.45891666412353516,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.1115834876933756,0.45754167437553406,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.0969526837579906,0.45637497305870056,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.08156350257922895,0.4582917094230652,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.06935767561662942,0.45954176783561707,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.06238053994214473,0.4580000340938568,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.0531244009519772,0.4596250057220459,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.046166305798882,0.45891672372817993,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.041638036893952325,0.45883333683013916,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.03710843003257954,0.45987507700920105,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.03541037399069561,0.45949995517730713,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.03036836723428375,0.46087509393692017,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.027989477079245262,0.4609583616256714,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.025296274276721913,0.4625416398048401,24,4,500,1000,30.0,6,"(3, 32, 32)",10,0.03,0.99,4,30,10
