iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.8299860854943593,0.3221666216850281,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.3489946618986626,0.3974583148956299,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.1294769000184413,0.42783331871032715,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.9841987456311472,0.4386667013168335,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.8104412672594966,0.45762503147125244,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.7266898952172293,0.4552500247955322,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.623745995525193,0.46100014448165894,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.5365894498245325,0.46454164385795593,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.46777201919758227,0.46662503480911255,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.4096459949117464,0.4697501063346863,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.35319615812719957,0.47054168581962585,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.30901314867514884,0.4723750948905945,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.28159380358071456,0.4689583480358124,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.2341248168037661,0.4726249575614929,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.1874203046754701,0.4760833978652954,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.1635478119351319,0.4762083888053894,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.13705017081762585,0.4767916798591614,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.12210371093048404,0.47687506675720215,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.09851240681261213,0.4777500629425049,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.08364538878231542,0.4786250591278076,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.07793256484728772,0.4761667251586914,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.06263289111060051,0.47704169154167175,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.05450080692025949,0.47841665148735046,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.04908651173658048,0.47850000858306885,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.04406603556344635,0.4781249761581421,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.0419816488562598,0.4777500629425049,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.035871705048824275,0.47841665148735046,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.030220496859935036,0.47991669178009033,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.02703158348958823,0.4797500967979431,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.02598310862231301,0.4791666865348816,24,4,500,1000,30.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
