iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.7160833105444908,0.32995837926864624,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.333305378910154,0.39750000834465027,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.1675556413053225,0.41312500834465027,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.9664567613508552,0.4435001015663147,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.8460061456717085,0.4554583728313446,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.7397458466293756,0.46683332324028015,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.6514612228396194,0.4752083420753479,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.5576287927785112,0.4811667203903198,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.5432535464157505,0.478750079870224,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.4384529605449643,0.4917917251586914,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.3970720903792729,0.4930000305175781,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.3595423340108634,0.4936249852180481,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.32209230655037874,0.494791716337204,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.2784468557947548,0.49795836210250854,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.24125509776543672,0.5014582872390747,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.22590679529093904,0.499541699886322,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.19388959921343485,0.5040417313575745,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.1632153564520801,0.5034166574478149,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.15478937075143526,0.5034583806991577,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.13105192814206626,0.5052499771118164,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.1150761925758464,0.5065833926200867,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.10263717889999195,0.5055000185966492,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.0909304967620604,0.5063333511352539,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.0818810562135089,0.5069583058357239,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.07265927887904884,0.5061250329017639,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.06552592435400584,0.5077916979789734,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.0589870751973649,0.5071666240692139,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.05406391814297725,0.5076667666435242,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.04855543700129298,0.5077083706855774,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.0443472258230031,0.5080833435058594,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,4,30,10
