iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.7887777934471767,0.3112500309944153,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.3346192091703415,0.40550002455711365,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.03390517582496,0.440166711807251,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.8477262494464716,0.45745834708213806,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.7058268375694752,0.46312499046325684,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.5636312812566757,0.4746250510215759,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.47392852418124676,0.47804170846939087,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.37906266873081523,0.48391664028167725,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.3354878866424163,0.48112499713897705,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.2854791445036729,0.48416662216186523,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.22032150408873954,0.4854167103767395,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.1812520163754622,0.4870416522026062,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.14416105952113867,0.4901667535305023,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.12228797981515527,0.49279165267944336,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.10272358808045585,0.49266666173934937,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.10650123570424815,0.4892084002494812,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.07589660848801334,0.49158334732055664,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.06326300751728316,0.4936249852180481,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.051109221686298646,0.4948333203792572,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.044335610582493246,0.494708389043808,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.03763232744919757,0.4945833683013916,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.03259985812474042,0.49483340978622437,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.028579232127716143,0.49662506580352783,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.027362885264058907,0.4957501292228699,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.024475190691494692,0.49529170989990234,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.020332664076704532,0.4955417513847351,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.022744376425786566,0.4943750500679016,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.01714528163817401,0.4956666827201843,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.015369720291346312,0.4947916269302368,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.01358560307805116,0.49612510204315186,24,4,500,1000,15.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
