iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.7737765262524288,0.32337498664855957,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.3293887823820114,0.3932916522026062,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.0718322694301605,0.4283334016799927,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.9124538960556189,0.4400000274181366,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.7422356891135374,0.45366665720939636,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.6081097473700842,0.46779167652130127,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.5423982553184032,0.46387502551078796,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.47231648800273734,0.46883338689804077,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.3835547709216674,0.47358331084251404,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.32890148895482224,0.47474998235702515,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.27145245236655074,0.4764166474342346,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.24229140719398856,0.4778750538825989,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.19997022727814814,0.47958338260650635,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.16277997420790294,0.48075005412101746,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.13816021165500084,0.4803750216960907,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.1295530126274874,0.48333340883255005,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.0971946818754077,0.4835416078567505,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.08767570923858632,0.48204168677330017,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.07090322040797521,0.4832916855812073,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.06438533088658005,0.48125001788139343,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.05540392165615534,0.48391664028167725,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.04946964172025522,0.4829583764076233,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.04211168293841183,0.48366665840148926,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.03684371463411177,0.4830000400543213,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.0321187594672665,0.48320838809013367,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.028615763934794813,0.4827500581741333,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.025865415732065838,0.484291672706604,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.024818866377851617,0.48116666078567505,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.020789150323253125,0.4840833842754364,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.018788391675722476,0.4850000739097595,24,4,500,1000,30.0,3,"(3, 32, 32)",10,0.03,0.99,4,30,10
