iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.7420496145884197,0.3405000567436218,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.2339320133129756,0.4125833213329315,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,0.9806642433007559,0.4450417160987854,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.8438484445214272,0.4460000693798065,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.6982604873677095,0.45904168486595154,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.603907639781634,0.46262502670288086,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.5039518376191457,0.4645000100135803,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.41074585045377415,0.47312504053115845,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.33347611998518306,0.4777500629425049,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.3116843917717536,0.4759584069252014,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.2483756539101402,0.47800004482269287,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.2239887366692225,0.47704172134399414,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.16832333337515593,0.4843333661556244,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.14696963923051953,0.48258328437805176,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.11983581042538087,0.48262500762939453,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.0985419984596471,0.48454174399375916,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.08707068643222253,0.48491668701171875,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.08165623286428551,0.48254165053367615,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.08211384108290076,0.4820833206176758,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.07417633384466171,0.4807499349117279,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.049986498119930424,0.48600003123283386,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.04110306334526589,0.4854999780654907,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.035712457999276616,0.4857916831970215,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.03976187979181608,0.484125018119812,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.0291954423688973,0.4867083430290222,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.02500053766804437,0.48591673374176025,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.02231978120592733,0.48529165983200073,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.019610249243366223,0.48483335971832275,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.018390239080569398,0.4860832691192627,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.01610145849796633,0.4851250648498535,24,4,500,1000,30.0,8,"(3, 32, 32)",10,0.03,0.99,4,30,10
