iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.7453559438387554,0.3134583532810211,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.2890022272864978,0.4006666839122772,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.117831788957119,0.43016669154167175,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.9062889460474253,0.4595416784286499,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.7901810898135105,0.471208393573761,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.6866306864346067,0.4800000786781311,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.5843748214344183,0.4878333508968353,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.5253140485535065,0.4937083423137665,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.4567774871829897,0.49791663885116577,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.44084949624569464,0.4959584176540375,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.3859188836067915,0.5008333921432495,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.32907788855178904,0.5041667819023132,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.2943016925904279,0.5092916488647461,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.2609390461196502,0.512458324432373,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.23831934243207797,0.5118750333786011,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.2188265686466669,0.5102500319480896,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.1941053939711613,0.5132083296775818,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.17441365018991442,0.5140416622161865,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.16331480530789122,0.5145833492279053,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.14232419199349047,0.5146666765213013,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.1267844034397664,0.514625072479248,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.11373773688683286,0.5162083506584167,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.10402871598489583,0.5160000324249268,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.09534354611726788,0.5174167156219482,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.08275796295977973,0.5174167156219482,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.07457546520163305,0.5182917714118958,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.07024543529648024,0.517250120639801,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.06215920842078049,0.5172917246818542,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.0566982212185394,0.517666757106781,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.05205110190824295,0.517541766166687,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,4,30,10
