iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.840921511252721,0.29470840096473694,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.3405399844050407,0.3892500102519989,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.136371833582719,0.41054171323776245,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.9558618124574423,0.42516666650772095,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.8340500065435966,0.42899996042251587,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.7153588629638156,0.44087502360343933,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.6294006745641431,0.4422083795070648,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.552484120397518,0.44758340716362,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.48933484707958996,0.4500001072883606,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.45185872361374396,0.4496249854564667,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.385536862614875,0.4514583945274353,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.3639749901291604,0.4478749930858612,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.2918610064079985,0.45520830154418945,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.255962104187347,0.4568750560283661,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.22421185716909045,0.45779168605804443,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.19667127930248776,0.4578750729560852,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.19625682211092985,0.455791711807251,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.15747548760070154,0.4582500457763672,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.1323806053454367,0.46116670966148376,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.11745173817810912,0.46116670966148376,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.10361273923384336,0.4615834355354309,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.09312823504054298,0.4618750214576721,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.08292287371781033,0.4624999761581421,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.07516235506045632,0.46358340978622437,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.06713118061694938,0.4634999930858612,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.05956499733535262,0.4635416269302368,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.05360523245569008,0.4624999761581421,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.049146621148490034,0.46158334612846375,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.047018112260654256,0.46283337473869324,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.04008286767445194,0.46375006437301636,24,4,500,1000,60.0,1,"(3, 32, 32)",10,0.03,0.99,4,30,10
