iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.74319921930631,0.328041672706604,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.1706735889116924,0.44554170966148376,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,0.9259262879689535,0.48350000381469727,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,0.7366489805281162,0.5046667456626892,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.5619734960297743,0.5224167108535767,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.4935181351999442,0.5202916860580444,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.388975715264678,0.5322083830833435,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.32757149636745453,0.5340834259986877,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.26266776273647946,0.5370417833328247,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.21542372119923434,0.5404584407806396,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.17147729670008025,0.5435833930969238,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.13787897862493992,0.5434584021568298,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.11885515476266544,0.5454167127609253,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.09037215169519186,0.5479167103767395,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.07938639144413173,0.5472083687782288,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.05922617499406139,0.5472500920295715,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.05042918763744334,0.5479583740234375,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.04273657675366849,0.5474583506584167,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.03564266829440991,0.5462501049041748,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.030518732227695484,0.5470417141914368,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.026285434723831713,0.5479583740234375,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.026441278828618426,0.5482917428016663,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.020631610066629946,0.549458384513855,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.017834105897539605,0.5493749976158142,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.016018154468232144,0.5488750338554382,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.014356832970709851,0.549333393573761,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.012804183585103601,0.548958420753479,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.011635125653507808,0.549375057220459,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.010591797802286843,0.549541711807251,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.009745156615584468,0.5499167442321777,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,4,30,10
