iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.98601745814085,0.2594374716281891,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
1,1.7363920621573925,0.37415626645088196,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
2,1.7894029766321182,0.37834373116493225,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
3,1.7082882300019264,0.4050000011920929,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
4,1.600650817155838,0.4271562397480011,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
5,1.5591378919780254,0.4353749454021454,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
6,1.4870393965393305,0.4500937759876251,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
7,1.450345791876316,0.4540937840938568,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
8,1.4047092366963625,0.4618437588214874,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
9,1.3963209856301546,0.46518760919570923,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
10,1.1780754141509533,0.4853125214576721,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
11,1.1220247857272625,0.49909383058547974,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
12,1.0839298982173204,0.4997187554836273,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
13,1.0426634587347507,0.507562518119812,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
14,1.0151736009866,0.508312463760376,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
15,0.9670741222798824,0.518500030040741,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
16,0.962002931162715,0.514093816280365,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
17,0.9537409264594316,0.5111874938011169,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
18,0.9316053297370672,0.515125036239624,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
19,0.9192549148574471,0.5150625109672546,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
20,0.799480939283967,0.5288437604904175,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
21,0.7790393037721515,0.530343770980835,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
22,0.7450575809925795,0.5345000624656677,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
23,0.7201389139518142,0.5344374775886536,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
24,0.7002925220876932,0.5355626344680786,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
25,0.6448565116152167,0.5415000915527344,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
26,0.6265962906181812,0.5409061908721924,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
27,0.6067921705543995,0.5436874628067017,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
28,0.5918682003393769,0.5434688329696655,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
29,0.5724516827613115,0.5447500944137573,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
