iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.8750532194972038,0.3302500545978546,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
1,1.7542686946690083,0.36353129148483276,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
2,1.6513421945273876,0.39618751406669617,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
3,1.6403082199394703,0.40646877884864807,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
4,1.5543508753180504,0.42612507939338684,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
5,1.3778470996767282,0.4515312910079956,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
6,1.3222452457994223,0.463687539100647,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
7,1.2653930317610502,0.4714687764644623,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
8,1.2388487290591002,0.476437509059906,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
9,1.1946835462003946,0.48256251215934753,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
10,1.098839147016406,0.49653127789497375,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
11,1.055430794134736,0.5024062991142273,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
12,1.0260843876749277,0.5056562423706055,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
13,0.9995177499949932,0.5063437819480896,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
14,0.9607392456382513,0.510718822479248,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
15,0.9050583988428116,0.5182812809944153,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
16,0.8864611918106675,0.5181876420974731,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
17,0.863889773376286,0.5190625190734863,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
18,0.8528590723872185,0.5186249613761902,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
19,0.8265163851901889,0.5208750367164612,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
20,0.783944089896977,0.522937536239624,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
21,0.7657251106575131,0.5260311961174011,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
22,0.7505382327362895,0.5246875286102295,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
23,0.7258910993114114,0.5276250243186951,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
24,0.7103316308930516,0.5257186889648438,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
25,0.6275156242772937,0.5419061779975891,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
26,0.6061345227062702,0.542843759059906,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
27,0.5860935719683766,0.5450000166893005,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
28,0.5719390939921141,0.5435312986373901,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
29,0.5540043478831649,0.5438438057899475,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
