iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.8690111264586449,0.33265629410743713,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
1,1.7489506974816322,0.36215630173683167,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
2,1.7060425877571106,0.3876563012599945,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
3,1.6178076714277267,0.40790629386901855,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
4,1.564343098551035,0.4303438067436218,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
5,1.39116470515728,0.4459688663482666,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
6,1.3160742782056332,0.4620937705039978,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
7,1.2507918812334538,0.4753749966621399,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
8,1.2510197069495916,0.4725000858306885,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
9,1.2051061503589153,0.4825937747955322,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
10,1.101374201476574,0.5020624995231628,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
11,1.0901358127593994,0.5015937685966492,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
12,1.054595386609435,0.5069688558578491,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
13,1.0353698749095201,0.5057188868522644,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
14,1.0141477026045322,0.5098437070846558,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
15,0.9295976404100657,0.515749990940094,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
16,0.8813071623444557,0.5254062414169312,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
17,0.8681751629337668,0.5216874480247498,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
18,0.8305319212377071,0.5271875262260437,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
19,0.8058909783139825,0.5285000801086426,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
20,0.7405843958258629,0.5389375686645508,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
21,0.717400012537837,0.5400625467300415,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
22,0.6994235049933195,0.540156364440918,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
23,0.6828209329396486,0.5397188067436218,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
24,0.6612380743026733,0.5418124794960022,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
25,0.6306648002937436,0.543468713760376,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
26,0.6202543256804347,0.541937530040741,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
27,0.6066087083891034,0.5406249761581421,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
28,0.5884200092405081,0.5428750514984131,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
29,0.5780891794711351,0.5427500605583191,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
