iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.9402760937809944,0.30912503600120544,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
1,1.729674343019724,0.3765000104904175,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
2,1.7296581901609898,0.38721874356269836,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
3,1.611751314252615,0.4154687821865082,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
4,1.5837106332182884,0.42725005745887756,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
5,1.5181969925761223,0.44218751788139343,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
6,1.4662964064627886,0.45609375834465027,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
7,1.4041249435395002,0.4624062478542328,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
8,1.3733450174331665,0.46643751859664917,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
9,1.3456796295940876,0.46900004148483276,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
10,1.1791070010513067,0.48768749833106995,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
11,1.1256692335009575,0.4946250021457672,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
12,1.081775013357401,0.5000625252723694,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
13,1.044122040271759,0.506156325340271,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
14,1.0243108477443457,0.5094375014305115,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
15,0.9484972897917032,0.5159687399864197,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
16,0.9071656884625554,0.5237500071525574,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
17,0.8726307833567262,0.5268124938011169,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
18,0.8530660197138786,0.5271875858306885,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
19,0.8262046910822392,0.5283438563346863,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
20,0.7815987262874842,0.5348124504089355,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
21,0.7599374139681458,0.5364687442779541,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
22,0.7471985006704926,0.5366562604904175,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
23,0.736507055349648,0.5342187881469727,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
24,0.7075317520648241,0.5368750095367432,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
25,0.6579031636938453,0.5401562452316284,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
26,0.6360056791454554,0.5435312986373901,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
27,0.6231777546927333,0.5415937900543213,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
28,0.6069267289713025,0.5423436760902405,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
29,0.5889074695296586,0.542718768119812,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
