iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.894868716597557,0.31331250071525574,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
1,1.683215830475092,0.37921878695487976,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
2,1.65410977602005,0.3856562674045563,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
3,1.6203128322958946,0.406000018119812,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
4,1.5549436546862125,0.42115625739097595,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
5,1.3603005819022655,0.45262494683265686,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
6,1.3446722384542227,0.45487502217292786,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
7,1.2808940466493368,0.4670625329017639,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
8,1.2619485445320606,0.46887511014938354,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
9,1.2154917996376753,0.4817500114440918,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
10,1.167458051815629,0.4857500195503235,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
11,1.1275360491126776,0.4912499487400055,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
12,1.1141627449542284,0.4936249852180481,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
13,1.0767845939844847,0.49909383058547974,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
14,1.052063312381506,0.4999999403953552,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
15,1.02697697840631,0.5042187571525574,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
16,1.0107373856008053,0.5039374828338623,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
17,0.9905517837032676,0.5058437585830688,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
18,0.9678063970059156,0.5072187781333923,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
19,0.9505631169304252,0.5099062919616699,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
20,0.8225112147629261,0.5261250734329224,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
21,0.7798778787255287,0.5294374823570251,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
22,0.7500764355063438,0.5340625047683716,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
23,0.7194117279723287,0.5370937585830688,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
24,0.6888658599928021,0.5393125414848328,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
25,0.6727055562660098,0.5394063591957092,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
26,0.6506050862371922,0.5402501225471497,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
27,0.6313891364261508,0.542187511920929,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
28,0.6182002816349268,0.5425000786781311,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
29,0.6024874243885279,0.5428125262260437,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
