iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.8724779039621353,0.32484373450279236,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
1,1.7563546895980835,0.3606875538825989,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
2,1.6498762220144272,0.39262500405311584,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
3,1.617036271840334,0.4109687805175781,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
4,1.5240574143826962,0.4268437922000885,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
5,1.4807416200637817,0.44184374809265137,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
6,1.4495604261755943,0.45212501287460327,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
7,1.391484297811985,0.4569374918937683,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
8,1.3711041193455458,0.46309375762939453,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
9,1.3087596092373133,0.4698125123977661,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
10,1.154071094468236,0.482906311750412,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
11,1.0868859253823757,0.49571874737739563,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
12,1.0687878727912903,0.4939374625682831,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
13,1.0078806784003973,0.507437527179718,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
14,0.9850017949938774,0.507312536239624,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
15,0.9109266400337219,0.5169687271118164,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
16,0.8863528743386269,0.5175313353538513,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
17,0.8626010064035654,0.5192813277244568,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
18,0.8374773263931274,0.5205312967300415,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
19,0.8083158023655415,0.5240000486373901,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
20,0.7666711956262589,0.527999997138977,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
21,0.753995961509645,0.5278126001358032,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
22,0.7385522797703743,0.5276250243186951,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
23,0.7156349215656519,0.5293124914169312,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
24,0.6988192610442638,0.5301250219345093,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
25,0.6575935045257211,0.532343864440918,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
26,0.6437150919809937,0.5317187905311584,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
27,0.6302273636683822,0.5335625410079956,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
28,0.6150714857503772,0.531125009059906,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
29,0.6086721774190664,0.5288125872612,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
