iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.823265810807546,0.30154168605804443,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
1,1.6906517694393794,0.3438750207424164,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
2,1.6645798534154892,0.35595831274986267,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
3,1.546979491909345,0.38100001215934753,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
4,1.5196093519528706,0.3865416646003723,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
5,1.4306959460179012,0.397958368062973,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
6,1.4060349116722743,0.4035000503063202,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
7,1.3517425954341888,0.40779173374176025,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
8,1.2755180299282074,0.4168750047683716,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
9,1.2271282970905304,0.422041654586792,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
10,1.1935795197884242,0.4231666922569275,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
11,1.1430246035257976,0.42729172110557556,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
12,1.0891820366183917,0.4342500865459442,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
13,1.0457784260312717,0.43629175424575806,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
14,1.0119309027989705,0.4397500157356262,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
15,0.9753382876515388,0.43929165601730347,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
16,0.9436990569035212,0.4411250352859497,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
17,0.9001045202215513,0.4462083578109741,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
18,0.8608396897713343,0.44700008630752563,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
19,0.8389617080489794,0.44620832800865173,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
20,0.8121326540907224,0.44566667079925537,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
21,0.782438096900781,0.44962501525878906,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
22,0.7508361438910166,0.4503333568572998,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
23,0.7236343969901403,0.4518749713897705,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
24,0.6895131220420202,0.45233333110809326,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
25,0.666931780676047,0.45241671800613403,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
26,0.6526322737336159,0.4531666934490204,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
27,0.6284328599770864,0.45620834827423096,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
28,0.6055391058325768,0.4558333158493042,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
29,0.5823341123759747,0.45520836114883423,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.02,0.99,30,10,0.01
