iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.6639659702777863,0.3415833115577698,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
1,1.2173784549037616,0.41225001215934753,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
2,1.0114819953838985,0.44495829939842224,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
3,0.8367760392526785,0.4651666581630707,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
4,0.6931625083088875,0.47729167342185974,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
5,0.5631334086259207,0.48775002360343933,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
6,0.45033816744883853,0.4976249933242798,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
7,0.3859456479549408,0.5,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
8,0.30196520996590454,0.5047500133514404,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
9,0.26103950167695683,0.5069167017936707,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
10,0.21910427572826544,0.5085000991821289,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
11,0.18723019709189734,0.5093749761581421,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
12,0.16043984175970158,0.5114583969116211,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
13,0.12211656368648012,0.5125417709350586,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
14,0.10468372857819001,0.5114167332649231,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
15,0.08350688048327963,0.5143333673477173,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
16,0.07420894728663067,0.5144166946411133,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
17,0.07762560186286767,0.515083372592926,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
18,0.054872435284778476,0.5169584155082703,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
19,0.0546659097696344,0.5142083764076233,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
20,0.04146968367664764,0.5161667466163635,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
21,0.035766919531549014,0.5159167051315308,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
22,0.035174048971384764,0.5178333520889282,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
23,0.02778825439357509,0.5191667079925537,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
24,0.0254934224843358,0.5185000896453857,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
25,0.02170308438750605,0.5194582939147949,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
26,0.018832537927664816,0.5206250548362732,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
27,0.017656743002589792,0.5207500457763672,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
28,0.016123085263340425,0.5200001001358032,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
29,0.013668986464229723,0.5198333263397217,24,4,500,1000,13,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,2
