iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.7034825831651688,0.3164167106151581,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
1,1.2664366662502289,0.3880000114440918,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
2,1.1718183147410552,0.38733339309692383,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
3,0.9464294128119946,0.4141666889190674,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
4,0.8020696348200241,0.4361250400543213,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
5,0.7018303306152424,0.44687503576278687,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
6,0.6223513288423419,0.45370838046073914,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
7,0.5193792131418983,0.46241676807403564,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
8,0.4616897765857478,0.4655833840370178,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
9,0.39748065879878897,0.4687499403953552,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
10,0.347133815754205,0.47212502360343933,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
11,0.29298072673069936,0.47804170846939087,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
12,0.2679338234399135,0.4763333201408386,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
13,0.23407531176538518,0.4792916476726532,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
14,0.21849461551755667,0.47470831871032715,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
15,0.17720561305759475,0.48237499594688416,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
16,0.15576062679368383,0.4818333387374878,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
17,0.13386158010689542,0.4828333556652069,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
18,0.11668408345819141,0.48216670751571655,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
19,0.101684684981592,0.4830833375453949,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
20,0.08913270353029172,0.48483335971832275,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
21,0.07508881996424559,0.48512500524520874,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
22,0.07342254342317271,0.48362499475479126,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
23,0.06411445295088924,0.484291672706604,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
24,0.05642080942440467,0.4859583377838135,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
25,0.0492886642847831,0.486875057220459,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
26,0.041913276577057935,0.48754164576530457,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
27,0.04134994949951457,0.48666661977767944,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
28,0.041811101997154765,0.4871250092983246,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
29,0.034070144664534986,0.4881666898727417,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,3
