iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.6486803442239761,0.3553750514984131,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
1,1.2084676089386146,0.43266674876213074,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
2,1.0174087351576115,0.4619583785533905,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
3,0.8768909251472602,0.4772500693798065,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
4,0.7309364678221755,0.4879167675971985,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
5,0.631761443791523,0.4972500503063202,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
6,0.5546199039332956,0.5004583597183228,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
7,0.46687610833517584,0.5093334317207336,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
8,0.4043989472217315,0.5114583373069763,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
9,0.3418172625194226,0.5164583921432495,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
10,0.2867813040987433,0.5199999809265137,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
11,0.24441825311320522,0.5190833806991577,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
12,0.20837792252132203,0.5229583978652954,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
13,0.20467771004283955,0.5199584364891052,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
14,0.1567557903448081,0.5245416760444641,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
15,0.14276235786868105,0.5240000486373901,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
16,0.11864834661537316,0.5257083773612976,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
17,0.10480773404803283,0.5263750553131104,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
18,0.08719218071685948,0.5252916812896729,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
19,0.07569376809745638,0.5257917642593384,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
20,0.07108808217162732,0.5285000801086426,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
21,0.06217665719183666,0.5276250839233398,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
22,0.056904785058577545,0.5274166464805603,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
23,0.04430391422647517,0.5290833711624146,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
24,0.0434533279731113,0.5282500982284546,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
25,0.04100584799380158,0.5285834074020386,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
26,0.03312962250007937,0.5287083387374878,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
27,0.02973724480519498,0.5298749804496765,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
28,0.02646303816800355,0.5300000905990601,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
29,0.023945874051908806,0.5300000905990601,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,4,23,30,10,1
