iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.7757886697848637,0.3458750247955322,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
1,1.3825054963429768,0.4293333888053894,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
2,1.2245904083053272,0.45479172468185425,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
3,1.2057719603180885,0.453041672706604,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
4,1.0301142210761707,0.4774167239665985,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
5,0.9076488167047501,0.49375003576278687,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
6,0.8011167099078497,0.5034583806991577,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
7,0.7467082689205805,0.502750039100647,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
8,0.674944318830967,0.5113333463668823,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
9,0.5949026606976986,0.518208384513855,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
10,0.5443271224697431,0.5200416445732117,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
11,0.5185606280962626,0.5234584212303162,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
12,0.46498436604936916,0.5255000591278076,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
13,0.4282982312142849,0.5263333916664124,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
14,0.3953308618317048,0.5293751358985901,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
15,0.3491865824908018,0.5312083959579468,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
16,0.3295766493926446,0.5291249752044678,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
17,0.29993632218490046,0.5328333377838135,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
18,0.27292900284131366,0.5329583883285522,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
19,0.24599376320838928,0.5362083911895752,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
20,0.22428230460112294,0.5377917289733887,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
21,0.20232550939545035,0.5364583730697632,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
22,0.19630978939433893,0.5368334054946899,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
23,0.17693139566108584,0.5363333225250244,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
24,0.1614744010536621,0.5369167327880859,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
25,0.14471607422456145,0.5366250276565552,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
26,0.13203052532238266,0.5385416746139526,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
27,0.1192359181586653,0.5417082905769348,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
28,0.10677418826768796,0.5396667718887329,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
29,0.10122224098692338,0.5397083759307861,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,2
