iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.585316965977351,0.4658454358577728,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
1,1.2129487246274948,0.5370594263076782,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
2,1.1370642135540645,0.5608974695205688,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
3,1.0262269129355748,0.5897436738014221,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
4,0.9468446224927902,0.6086739301681519,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
5,0.9012654647231102,0.6156851053237915,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
6,0.8194780026872953,0.6305088996887207,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
7,0.770073821147283,0.6371194124221802,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
8,0.7343118066589037,0.644931972026825,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
9,0.6833881735801697,0.6483373045921326,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
10,0.639190157254537,0.6545473337173462,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
11,0.59461052591602,0.6581530570983887,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
12,0.5681519731879234,0.6607571840286255,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
13,0.5369898627201716,0.6620593667030334,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
14,0.4923536678155263,0.6667668223381042,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
15,0.4650527449945609,0.6698717474937439,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
16,0.44381852199633914,0.6720752716064453,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
17,0.4180613209803899,0.672776460647583,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
18,0.3929778424402078,0.6746796369552612,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
19,0.3731122960646947,0.6760818362236023,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
20,0.34505272284150124,0.6759817004203796,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
21,0.32762181883056957,0.6787861585617065,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
22,0.31389007717370987,0.6798877716064453,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
23,0.29212566030522186,0.6819912791252136,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
24,0.27428920070330304,0.681490421295166,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
25,0.25819915533065796,0.6829928755760193,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
26,0.2389338780194521,0.6819912195205688,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
27,0.2259972474227349,0.6826924085617065,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
28,0.21022725415726504,0.6824920177459717,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
29,0.20272257551550865,0.6827925443649292,24,1,500,1000,1,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,2
