iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.6982321540514629,0.3685833811759949,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
1,1.255625347296397,0.4556666314601898,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
2,1.0693817138671875,0.48900002241134644,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
3,0.9568841817478339,0.4986250400543213,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
4,0.8232814961423477,0.5158750414848328,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
5,0.7252713432535529,0.5257084369659424,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
6,0.6576752580391864,0.5295000672340393,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
7,0.561579225740085,0.5364167094230652,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
8,0.49801696262632805,0.5392917394638062,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
9,0.43330390052869916,0.5433333516120911,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
10,0.4188726906431839,0.5417500138282776,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
11,0.35972733232968795,0.5478333830833435,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
12,0.3086927164113149,0.5547916889190674,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
13,0.2735166803662044,0.5555000305175781,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
14,0.24684160235725963,0.5545417666435242,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
15,0.21219970458575213,0.5562500953674316,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
16,0.20530190706873933,0.5572500228881836,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
17,0.16951277336920612,0.5584583282470703,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
18,0.14558611827669665,0.5598750114440918,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
19,0.13358958806687346,0.5599583387374878,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
20,0.11658376639631267,0.5615001320838928,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
21,0.098400766136668,0.5612499713897705,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
22,0.08657450962346047,0.561583399772644,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
23,0.08061327692606331,0.5609167814254761,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
24,0.07079096518767376,0.561750054359436,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
25,0.06446003067442992,0.5634584426879883,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
26,0.058758565442985855,0.5627083778381348,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
27,0.05339033386553638,0.5627501010894775,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
28,0.04738131117483135,0.5626250505447388,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
29,0.04678102772353062,0.5627917647361755,24,3,500,1000,11,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,4
