iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.549918661514918,0.4501202702522278,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
1,1.2310754756132762,0.536959171295166,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
2,1.1282627830902736,0.5753204822540283,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
3,1.0570946037769318,0.5960537195205688,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
4,0.9839694276452065,0.6104768514633179,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
5,0.9317672277490298,0.6168869733810425,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
6,0.8555103739102682,0.6305088996887207,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
7,0.796493818362554,0.6386218070983887,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
8,0.7508681962887446,0.6455328464508057,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
9,0.7167108605305353,0.6490384936332703,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
10,0.6642039542396864,0.6515425443649292,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
11,0.622577890753746,0.6586538553237915,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
12,0.5877406187355518,0.6591546535491943,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
13,0.5501383977631727,0.6664663553237915,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
14,0.5177984771629175,0.6672677397727966,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
15,0.4900026631851991,0.669270932674408,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
16,0.45774230112632114,0.6729767322540283,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
17,0.43355636298656464,0.670973539352417,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
18,0.4115809326370557,0.675480842590332,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
19,0.3925199608008067,0.6731771230697632,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
20,0.3625678929189841,0.6768831014633179,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
21,0.33766664440433186,0.6767828464508057,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
22,0.3215536419302225,0.6769832372665405,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
23,0.3057077464958032,0.6803886890411377,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
24,0.28029159766932327,0.6811899542808533,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
25,0.26561416933933896,0.6820914149284363,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
26,0.25111537737150985,0.6834936141967773,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
27,0.23220516368746758,0.683694064617157,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
28,0.2205224142720302,0.683293342590332,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
29,0.20860594883561134,0.6861979365348816,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,1
