iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.7610871245463688,0.3517906665802002,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
1,1.3264457782109578,0.4794418215751648,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
2,1.093192994594574,0.5337635278701782,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
3,0.9411635771393776,0.565426230430603,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
4,0.8258011937141418,0.5835834741592407,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
5,0.7310419355829557,0.5918867588043213,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
6,0.635559469461441,0.6053920984268188,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
7,0.579572735975186,0.6077431440353394,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
8,0.5060422432919344,0.6179972290992737,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
9,0.440860852599144,0.6218487024307251,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
10,0.3931616072853406,0.6246998310089111,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
11,0.3500128934780757,0.6287515163421631,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
12,0.3112280120452245,0.6284513473510742,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
13,0.26889910611013573,0.6309523582458496,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
14,0.23856729144851366,0.633053183555603,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
15,0.21253912585477033,0.6352541446685791,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
16,0.18834795585523048,0.635754406452179,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
17,0.16231721298148236,0.6350040435791016,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
18,0.14317011646926403,0.6392556428909302,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
19,0.1275157273436586,0.6397559642791748,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
20,0.1108243012179931,0.6405061483383179,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
21,0.09595648478716612,0.6408563852310181,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
22,0.08399820203582446,0.6415066719055176,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
23,0.07505760512625177,0.6416566371917725,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
24,0.06487364197770755,0.642707109451294,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
25,0.05569929536432028,0.642306923866272,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
26,0.050657611805945635,0.6425070762634277,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
27,0.044435032488157354,0.6438575387001038,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
28,0.04136034178858002,0.6426069736480713,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
29,0.035657847843443356,0.6418066620826721,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,1
