iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.4356364409128826,0.48167070746421814,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
1,1.2201291024684906,0.5360577702522278,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
2,1.1054876148700714,0.568209171295166,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
3,1.0144343400994937,0.5910456776618958,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
4,1.0031457468867302,0.6013622879981995,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
5,0.9014020437995592,0.6139824390411377,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
6,0.8375167970856031,0.6236979365348816,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
7,0.7918843850493431,0.6342148184776306,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
8,0.7370318522055944,0.6386218070983887,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
9,0.687674418091774,0.643329381942749,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
10,0.6423659324645996,0.6480369567871094,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
11,0.6071576550602913,0.652944803237915,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
12,0.5736565180122852,0.655048131942749,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
13,0.541793509076039,0.6606571674346924,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
14,0.5054434450964133,0.662359893321991,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
15,0.4805251508951187,0.6639623641967773,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
16,0.44904018317659694,0.6664663553237915,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
17,0.41999520858128864,0.6680688858032227,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
18,0.39503242323795956,0.669270932674408,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
19,0.37450989459951717,0.6699719429016113,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
20,0.35276717444260913,0.6741787195205688,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
21,0.3267994796236356,0.6747796535491943,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
22,0.3073517481486003,0.6746795177459717,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
23,0.29242698786159355,0.67578125,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
24,0.2717648421724637,0.6778846979141235,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
25,0.2540981639176607,0.6759816408157349,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
26,0.23847938204805055,0.6776843070983887,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
27,0.222563232605656,0.6781851053237915,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
28,0.21053125895559788,0.6789864301681519,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
29,0.1956894857188066,0.6786859035491943,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,1,23,30,10,4
