iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.6421155333518982,0.39108335971832275,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
1,1.120674453675747,0.5013334155082703,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
2,0.9328233599662781,0.533500075340271,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
3,0.7965211048722267,0.5527083873748779,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
4,0.616422259559234,0.5793334245681763,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
5,0.522777701417605,0.58329176902771,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
6,0.4386439596613248,0.59270840883255,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
7,0.3750348264972369,0.5969167351722717,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
8,0.30208671900133294,0.5985833406448364,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
9,0.25768498082955676,0.6022500991821289,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
10,0.2141892910003662,0.6052500009536743,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
11,0.17949121569593748,0.6080000400543213,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
12,0.15159787548085055,0.6061668395996094,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
13,0.12160584547867377,0.6092084050178528,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
14,0.09958258457481861,0.611708402633667,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
15,0.08138294393817584,0.610458493232727,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
16,0.06720368579650919,0.6102917194366455,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
17,0.054716861651589475,0.611041784286499,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
18,0.045971796537439026,0.611708402633667,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
19,0.040300995111465454,0.6116251349449158,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
20,0.032959268505995475,0.6120416522026062,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
21,0.030659903306514025,0.611458420753479,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
22,0.025484985982378323,0.6124999523162842,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
23,0.022423132710779708,0.612500011920929,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
24,0.019401343539357185,0.6117082834243774,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
25,0.017360871269678075,0.611750066280365,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
26,0.015223550532634059,0.6132916212081909,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
27,0.014012933087845644,0.6124584078788757,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
28,0.012301944894716144,0.6126667261123657,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
29,0.010866085552455237,0.6134583950042725,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,3,23,30,10,3
