iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.7176517347494762,0.3656963109970093,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
1,1.2846162393689156,0.48929569125175476,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
2,1.0540588324268658,0.5432173013687134,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
3,0.8997999454538027,0.5767306685447693,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
4,0.7930832977096239,0.5939875841140747,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
5,0.7110769475499789,0.6033413410186768,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
6,0.6247665534416834,0.6116446256637573,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
7,0.5555225623150667,0.6189976334571838,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
8,0.5055360309779644,0.6196478009223938,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
9,0.4398026838898659,0.6257002949714661,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
10,0.39647529522577923,0.6294517517089844,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
11,0.35017243896921474,0.6319528818130493,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
12,0.3054149989038706,0.6373549699783325,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
13,0.2789358713974555,0.6365545392036438,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
14,0.24560964728395143,0.6387054920196533,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
15,0.2182790463169416,0.6381552219390869,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
16,0.18761620049675307,0.6402060985565186,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
17,0.16561321758975586,0.6419568061828613,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
18,0.1426759179060658,0.6416066884994507,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
19,0.1256339546913902,0.6417567133903503,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
20,0.11024099960923195,0.6425570249557495,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
21,0.09555668228616317,0.6421568989753723,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
22,0.08302252662057678,0.6426070928573608,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
23,0.07200132962316275,0.6444077491760254,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
24,0.06551508729656537,0.6430572867393494,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
25,0.056651800560454525,0.6433573961257935,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
26,0.050023416290059686,0.6423569917678833,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
27,0.0451326883242776,0.644757866859436,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
28,0.041407001903280616,0.6461584568023682,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
29,0.03537553750599424,0.6450079679489136,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,4
