iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
10,2.0401772618293763,2.0475205095108273,2.0328340141479253,5.578164720535279,5.584655428328953,5.571674012741604,5.232724380493164,5.240854846569609,5.22459391441672,6.449526119232178,6.457943390007819,6.441108848456536
11,1.8607219934463501,1.867679425160259,1.8537645617324412,5.292566585540771,5.29864606660545,5.286487104476093,5.056723403930664,5.065521397541936,5.047925410319392,6.294601964950561,6.3004451297326245,6.288758800168498
12,1.6947880506515502,1.7013458030225932,1.6882302982805073,5.021388196945191,5.0275252319151775,5.015251161975204,4.882507991790772,4.891124593735784,4.87389138984576,6.152346897125244,6.158156127091667,6.146537667158821
13,1.5498401880264283,1.5560158388255487,1.543664537227308,4.765165948867798,4.77143990378852,4.758891993947077,4.722626638412476,4.730361491558687,4.714891785266264,6.0251219272613525,6.029724802944214,6.020519051578491
14,1.416164231300354,1.4217750074218811,1.4105534551788268,4.525087785720825,4.530896125042327,4.519279446399324,4.568915605545044,4.576986751660187,4.560844459429901,5.906678342819214,5.913156881422431,5.9001998042159975
15,1.2992634057998658,1.3049321941852858,1.2935946174144457,4.296570062637329,4.301660301036633,4.291479824238025,4.42697696685791,4.435005124763069,4.418948808952751,5.799756097793579,5.807273414994543,5.792238780592615
16,1.1915919542312623,1.1970678985807275,1.186116009881797,4.082566928863526,4.087374456223235,4.077759401503816,4.294091987609863,4.300995338005813,4.287188637213913,5.700473880767822,5.707595254706807,5.693352506828837
17,1.093977451324463,1.0988671597146806,1.0890877429342452,3.8792969226837157,3.884804313345469,3.8737895320219624,4.168871641159058,4.175842279098538,4.161901003219577,5.595764446258545,5.602931845425722,5.588597047091367
18,1.0065574824810029,1.0108994179607615,1.0022155470012442,3.687906861305237,3.6942022712170015,3.681611451393472,4.044060587882996,4.051397942476311,4.03672323328968,5.503933715820312,5.514399930293037,5.493467501347587
19,0.9248101770877838,0.928947302125531,0.9206730520500366,3.5089523792266846,3.5141949375508053,3.503709820902564,3.9314329385757447,3.9377604327031546,3.925105444448335,5.409333181381226,5.42107653315667,5.397589829605781
20,0.8517191767692566,0.8553430717951305,0.8480952817433827,3.3385668754577638,3.3442740676617655,3.332859683253762,3.8216299057006835,3.8287749963768807,3.8144848150244863,5.328857660293579,5.342004754557901,5.315710566029257
21,0.7834261119365692,0.7866961700396963,0.7801560538334421,3.178192687034607,3.184029146171218,3.172356227897996,3.7168222427368165,3.722737755283712,3.710906730189921,5.241706418991089,5.253528943439473,5.229883894542704
22,0.7213232517242432,0.7240415362939664,0.7186049671545199,3.0237971782684325,3.029538865121788,3.018055491415077,3.6217793941497805,3.628125003809515,3.6154337844900457,5.167116928100586,5.179005403479856,5.155228452721316
23,0.6634173274040223,0.6660574292251833,0.6607772255828612,2.879903554916382,2.8857284236138097,2.874078686218954,3.529542398452759,3.535577237391543,3.523507559513975,5.095583295822143,5.105931620280133,5.085234971364153
24,0.6112573444843292,0.6138806405161514,0.608634048452507,2.7399680852890014,2.7454151020157735,2.734521068562229,3.4428757190704347,3.449060179539622,3.4366912586012472,5.018169975280761,5.029722372167935,5.006617578393588
25,0.5619973421096802,0.5647793510721232,0.5592153331472373,2.609310245513916,2.614145713069412,2.60447477795842,3.3603058815002442,3.3679002966798697,3.352711466320619,4.951006746292114,4.963837584969803,4.938175907614425
26,0.5174387693405151,0.520110207800665,0.5147673308803653,2.4849545478820803,2.489990396731719,2.4799186990324413,3.2798134088516235,3.2868885696743115,3.2727382480289355,4.88553900718689,4.8990499223322255,4.872028092041554
27,0.4761775732040405,0.4787664049991873,0.47358874140889373,2.366100478172302,2.371177941121334,2.36102301522327,3.202550745010376,3.209488542743546,3.195612947277206,4.825033283233642,4.837302193135568,4.812764373331716
28,0.4380161285400391,0.440440928151985,0.43559132892809316,2.2551994800567625,2.2600697330938573,2.2503292270196678,3.1259751081466676,3.13347509383822,3.118475122455115,4.763762140274048,4.776111850400795,4.751412430147301
29,0.4031521648168564,0.4054963765323063,0.4008079531014065,2.1485406875610353,2.1529432164284366,2.144138158693634,3.0558815240859984,3.063802771205098,3.047960276966899,4.709927892684936,4.72356794457145,4.696287840798423
