iter,algo_R_local_0.0_mean,algo_R_local_0.0_upper,algo_R_local_0.0_lower,algo_R_local_1.0_mean,algo_R_local_1.0_upper,algo_R_local_1.0_lower,algo_R_local_3.0_mean,algo_R_local_3.0_upper,algo_R_local_3.0_lower,algo_R_local_5.0_mean,algo_R_local_5.0_upper,algo_R_local_5.0_lower
26,2.484954524040222,2.489990370316168,2.479918677764276,1.4262922286987305,1.429107687897927,1.423476769499534,0.9122750401496887,0.9140180559349205,0.910532024364457,0.743735533952713,0.7452569588490796,0.7422141090563463
27,2.366100478172302,2.371177946463476,2.3610230098811282,1.3444210290908813,1.347294399590988,1.3415476585907746,0.8595183312892913,0.8613112937555759,0.8577253688230068,0.7032403349876404,0.7045469234706749,0.7019337465046058
28,2.2551995277404786,2.2600697774998966,2.2503292779810606,1.2684545397758484,1.271339602082387,1.2655694774693098,0.8106585204601288,0.8124192409622412,0.8088977999580164,0.6657817602157593,0.6669828226115367,0.6645806978199819
29,2.1485406875610353,2.1529432164284366,2.144138158693634,1.1976254343986512,1.2002415878907884,1.195009280906514,0.7647401452064514,0.7663627878103099,0.7631175026025929,0.6314798533916474,0.6326363617271001,0.6303233450561946
30,2.0473079681396484,2.051482824235702,2.043133112043595,1.1314682960510254,1.1339754762219627,1.128961115880088,0.7230315387248993,0.7245117058692881,0.7215513715805105,0.600435870885849,0.6015700505025454,0.5993016912691527
31,1.95001118183136,1.9539173987993985,1.9461049648633213,1.0688990354537964,1.07110471820747,1.0666933527001228,0.6846577167510987,0.6860230916675384,0.6832923418346589,0.5712324976921082,0.5721295278460287,0.5703354675381876
32,1.8594522595405578,1.8631233278794292,1.8557811912016864,1.0105812668800354,1.0129562402922656,1.008206293467805,0.6480858266353607,0.649235660512572,0.6469359927581495,0.5441011369228363,0.5449935531518943,0.5432087206937783
33,1.7740262985229491,1.7778718108653666,1.7701807861805317,0.9567542493343353,0.9589828346077897,0.9545256640608809,0.6145688951015472,0.6157317169312442,0.6134060732718503,0.5187885403633118,0.5196451400612976,0.517931940665326
34,1.6916839361190796,1.694895794588486,1.6884720776496733,0.9050710558891296,0.9072230659122157,0.9029190458660435,0.5843093395233154,0.5853569571825941,0.5832617218640368,0.49616729021072387,0.4969602598714504,0.4953743205499973
35,1.6124973058700562,1.6157690013715387,1.6092256103685738,0.8566557884216308,0.8589899745402754,0.8543216023029863,0.5551214158535004,0.5559397707629034,0.5543030609440974,0.4741565376520157,0.4750067986814112,0.4733062766226202
36,1.538812482357025,1.542160552005457,1.535464412708593,0.8114221096038818,0.813779739608007,0.8090644795997567,0.5282237887382507,0.529055390157186,0.5273921873193155,0.45427533984184265,0.4551598620151201,0.4533908176685652
37,1.469952154159546,1.4732221256175209,1.466682182701571,0.768313068151474,0.770421388890747,0.7662047474122011,0.5029718726873398,0.5039203422375849,0.5020234031370947,0.4356835961341858,0.43652940236732646,0.4348377899010451
38,1.402273416519165,1.4052091401444058,1.3993376928939243,0.7274868130683899,0.7291548506403636,0.7258187754964163,0.479584676027298,0.48050778622854745,0.4786615658260485,0.4182504743337631,0.41908757730764823,0.417413371359878
39,1.3373560667037965,1.3400259365422555,1.3346861968653374,0.6901203572750092,0.6917604374326908,0.6884802771173276,0.4581708461046219,0.4590536893649992,0.4572880028442446,0.40207589864730836,0.4028327385782095,0.4013190587164072
40,1.2763601660728454,1.2790865774942641,1.2736337546514267,0.6546252489089965,0.6561534691476913,0.6530970286703017,0.4376487910747528,0.43845929638259323,0.43683828576691236,0.38689332008361815,0.38767968407571474,0.38610695609152157
41,1.2184028267860412,1.221136275363217,1.2156693782088654,0.6215774655342102,0.6228966179362931,0.6202583131321273,0.41899403631687165,0.4197752564949199,0.4182128161388234,0.3733191668987274,0.3741266118673262,0.3725117219301286
42,1.1642820239067078,1.1664548436031084,1.1621092042103072,0.5907453894615173,0.5919506722692447,0.58954010665379,0.4013702630996704,0.40203547026885605,0.4007050559304847,0.3604531079530716,0.36121010600268133,0.3596961099034619
43,1.1115033388137818,1.113406920628024,1.1095997569995397,0.5612420916557312,0.5623680346448192,0.5601161486666433,0.3848771661520004,0.38547132230858105,0.38428300999541976,0.3484101861715317,0.34922552751085933,0.34759484483220404
44,1.061579430103302,1.0638180709489984,1.0593407892576054,0.5341750323772431,0.535179276050606,0.5331707887038801,0.369538289308548,0.37005949550096046,0.3690170831161355,0.337066438794136,0.3378589874043604,0.33627389018391163
45,1.0133747816085816,1.0159097698805992,1.010839793336564,0.5082019627094269,0.5093287804747075,0.5070751449441462,0.3551433771848679,0.35567996938029556,0.3546067849894402,0.3264166831970215,0.32717347042575984,0.32565989596828315
46,0.9685912370681763,0.9706344291640557,0.9665480449722968,0.48368186354637144,0.4848040296303505,0.48255969746239236,0.3418094277381897,0.3423701545879331,0.3412487008884463,0.3160179525613785,0.31676221463179594,0.31527369049096104
47,0.9249805271625519,0.9269270197730488,0.9230340345520549,0.46115773916244507,0.4621982687761546,0.46011720954873553,0.32895433604717256,0.3293885221901775,0.3285201499041676,0.30680606365203855,0.3074577675928091,0.30615435971126803
48,0.8846725225448608,0.8865442258452125,0.8828008192445091,0.4396321773529053,0.4403631495997065,0.43890120510610403,0.3172762244939804,0.3177250717608227,0.3168273772271381,0.298154017329216,0.29885519521659953,0.29745283944183243
49,0.8457583665847779,0.847424779928989,0.8440919532405667,0.4193603008985519,0.4200550140413258,0.41866558775577806,0.30612165927886964,0.30658481939893445,0.30565849915880483,0.28989008963108065,0.29063735168288396,0.28914282757927734
50,0.8081819534301757,0.8100941493770036,0.8062697574833478,0.40065480172634127,0.401301827566805,0.40000777588587755,0.2957553505897522,0.2960016747306438,0.2955090264488606,0.28222110867500305,0.28292171466697524,0.28152050268303086
51,0.772863095998764,0.7747124517852133,0.7710137402123147,0.38347849547863005,0.38429386417440364,0.38266312678285647,0.28615231812000275,0.28646552575451106,0.28583911048549443,0.2748333066701889,0.27547036185530516,0.27419625148507265
52,0.7398205101490021,0.7414529750838351,0.738188045214169,0.36703642308712003,0.36784987449594186,0.3662229716782982,0.2770114868879318,0.27736429020029324,0.2766586835755704,0.2679841756820679,0.268559307647686,0.2674090437164498
53,0.7076618254184723,0.7094423587501208,0.7058812920868238,0.3517058253288269,0.35248882815948485,0.3509228224981689,0.2689063519239426,0.2692697334412316,0.26854297040665354,0.2618313282728195,0.2623934982534937,0.26126915829214536
54,0.6770528852939606,0.6785993194906594,0.6755064510972617,0.3369303703308105,0.3376893928013932,0.33617134786022784,0.2609551757574081,0.261382533443061,0.26052781807175523,0.25601341128349303,0.25666444014100104,0.255362382425985
55,0.6473282039165497,0.6488251061615513,0.645831301671548,0.3236246287822723,0.3245242005843427,0.3227250569802018,0.25358791649341583,0.2540820862793305,0.2530937467075012,0.25027559101581576,0.2510065355812385,0.249544646450393
56,0.6195358574390412,0.6212567132599309,0.6178150016181514,0.3108352869749069,0.3117121286984184,0.30995844525139543,0.24657767117023469,0.24715209711382743,0.24600324522664194,0.24502914845943446,0.24571414979414866,0.24434414712472027
