iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
19,3.508283543586731,3.513655276812481,3.5029118103609806,3.506530594825745,3.511077029742707,3.5019841599087824,3.498584429423014,3.5114685516804434,3.485700307165585,3.5066677808761595,3.512692500523331,3.500643061228988
20,3.338045072555542,3.3438589214734695,3.332231223637615,3.335197925567627,3.3406530187922865,3.3297428323429674,3.3251001834869385,3.339268964045723,3.310931402928154,3.335834288597107,3.342061319776974,3.3296072574172397
21,3.177354431152344,3.1829110033356915,3.171797858968996,3.174514150619507,3.1796657136189546,3.1693625876200593,3.1639055411020913,3.176863680485236,3.1509474017189465,3.175863766670227,3.182078873136058,3.169648660204396
22,3.022810769081116,3.028091656468181,3.017529881694051,3.020034909248352,3.02521753919345,3.014852279303254,3.0063000520070395,3.0181809929171117,2.9944191110969673,3.0210208177566527,3.027528316569141,3.0145133189441644
23,2.878280782699585,2.8836473949879626,2.872914170411207,2.8757080316543577,2.8815783293356354,2.86983773397308,2.8561872641245523,2.8693059476682503,2.843068580580854,2.876235318183899,2.883044364260841,2.869426272106957
24,2.7372897624969483,2.742473302116202,2.7321062228776944,2.734817552566528,2.7405297587976714,2.729105346335385,2.7180327574412027,2.731840143514508,2.7042253713678974,2.7346869707107544,2.741408602689212,2.7279653387322966
25,2.6062078714370727,2.610976362321011,2.6014393805531344,2.602671432495117,2.6084253400762494,2.5969175249139846,2.5880839824676514,2.600706920366542,2.575461044568761,2.605682897567749,2.611916602058788,2.5994491930767096
26,2.482906770706177,2.487709256465157,2.478104284947197,2.479214572906494,2.4852075793261816,2.4732215664868065,2.461343844731649,2.4733185783063623,2.4493691111569356,2.4848003149032594,2.4912628751682497,2.478337754638269
27,2.3647047519683837,2.369821598489778,2.3595879054469893,2.359852337837219,2.3661640768998264,2.353540598774612,2.3413161436716714,2.353504491010057,2.3291277963332857,2.3671080350875853,2.374438366219074,2.3597777039560968
28,2.2535260915756226,2.2582416296907226,2.2488105534605225,2.2495455741882324,2.255349415727294,2.2437417326491707,2.234232505162557,2.245440459397068,2.2230245509280464,2.258963465690613,2.2656176877723815,2.252309243608844
29,2.146651840209961,2.1509869798906465,2.1423167005292756,2.1429139137268067,2.1480649508679734,2.13776287658564,2.1267438729604087,2.1357579929034296,2.1177297530173878,2.1529573678970335,2.1592904998079816,2.1466242359860854
30,2.0456573963165283,2.049758694032835,2.0415560986002217,2.042215180397034,2.047182107331329,2.0372482534627387,2.0259505112965903,2.0352926719501894,2.0166083506429913,2.0530818462371827,2.059626130261695,2.0465375622126705
31,1.9480355381965637,1.9520397981062025,1.944031278286925,1.945114302635193,1.950111433682736,1.9401171715876497,1.9291719595591228,1.9398645980049007,1.9184793211133448,1.9583428263664246,1.9649660663726236,1.9517195863602257
32,1.8578487277030944,1.8614905931887726,1.8542068622174162,1.8554418921470641,1.860456148934574,1.8504276353595543,1.841121792793274,1.852710337202524,1.8295332483840239,1.869238519668579,1.8756937450842068,1.8627832942529512
33,1.7724807500839233,1.7763143746739312,1.7686471254939153,1.76927889585495,1.7743635211998956,1.7641942705100042,1.7575589021046956,1.7685503470759587,1.7465674571334324,1.7848792791366577,1.7912799182872794,1.778478639986036
34,1.690936803817749,1.6943444349967631,1.687529172638735,1.6871188163757325,1.6918531350297243,1.6823844977217406,1.6767929792404175,1.6873903335849543,1.6661956248958807,1.7050088047981262,1.7114797059506537,1.6985379036455988
35,1.611601674556732,1.6149580378940447,1.6082453112194195,1.6066499471664428,1.611017449549462,1.6022824447834236,1.5965443849563599,1.6064179950295518,1.5866707748831679,1.6290714025497437,1.6350214188749055,1.623121386224582
36,1.53732568025589,1.540825210555033,1.5338261499567467,1.5334186792373656,1.5376750263726175,1.5291623321021137,1.5257176558176677,1.5358606749556554,1.51557463667968,1.5574357986450196,1.5631147003550159,1.5517568969350233
37,1.4679837226867676,1.4716595815355107,1.4643078638380245,1.4639080286026,1.4679876226504625,1.4598284345547377,1.4541508356730144,1.46394102782799,1.4443606435180387,1.4893679857254027,1.4949798770207412,1.4837560944300643
38,1.4002070307731629,1.403770201285748,1.3966438602605777,1.3966124892234801,1.4005007628808728,1.3927242155660875,1.3906605243682861,1.397607410329241,1.3837136384073312,1.4251662969589234,1.4305520552723352,1.4197805386455116
39,1.335988736152649,1.339170215333812,1.332807256971486,1.3323777079582215,1.3361725764697683,1.3285828394466748,1.3280463218688965,1.3331323337558125,1.3229603099819804,1.3633925676345826,1.3678945198144365,1.3588906154547287
40,1.2759810447692872,1.2789021441391875,1.273059945399387,1.2721778273582458,1.2760038051683422,1.2683518495481494,1.2699666420618694,1.2747831122256978,1.265150171898041,1.3054187893867493,1.3096380447256213,1.3011995340478772
41,1.218029797077179,1.2206898664766963,1.2153697276776616,1.2148598790168763,1.2184594812938312,1.2112602767399214,1.211909810702006,1.217098269322547,1.2067213520814652,1.2514538764953613,1.2554794489343593,1.2474283040563634
42,1.1634214043617248,1.1657015481285833,1.1611412605948663,1.1605982184410095,1.163694107856262,1.1575023290257571,1.1628323396046956,1.1668107204723803,1.1588539587370108,1.199130940437317,1.2027576408123992,1.1955042400622347
43,1.110555064678192,1.1125321461928244,1.1085779831635598,1.1071721315383911,1.110082421622878,1.1042618414539043,1.112079660097758,1.1169422577389092,1.107217062456607,1.148956048488617,1.1525291696419548,1.1453829273352791
44,1.0609426736831664,1.0629809133951837,1.058904433971149,1.0575527548789978,1.0599859088459085,1.0551196009120871,1.0650888284047446,1.0683988987574837,1.0617787580520055,1.1029184818267823,1.1059350313275267,1.099901932326038
45,1.0129240036010743,1.015168882486985,1.0106791247151636,1.0102559328079224,1.0125553793461817,1.007956486269663,1.0192521810531616,1.0226461340371598,1.0158582280691635,1.0576813459396361,1.0608122907324855,1.0545504011467868
46,0.967274397611618,0.9691008326115971,0.965447962611639,0.9656099796295166,0.9678810256072942,0.963338933651739,0.9759808778762817,0.9789205144310614,0.973041241321502,1.0158762335777283,1.0189077179928363,1.0128447491626202
47,0.9238364160060882,0.9255946645013186,0.9220781675108579,0.9221081674098969,0.9242892044176164,0.9199271304021773,0.9352296392122904,0.9385660606377465,0.9318932177868343,0.9740283250808716,0.9765976796549211,0.9714589705068221
