iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.7154895837108294,0.4550280272960663,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
1,0.2743808987239997,0.48968347907066345,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
2,0.19426700364177427,0.5119191408157349,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
3,0.15461095049977303,0.5233374238014221,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
4,0.11939762276597321,0.5257412195205688,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
5,0.06494853917198877,0.5370593070983887,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
6,0.06941907775277893,0.5454728603363037,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
7,0.04991151906627541,0.5468751192092896,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
8,0.04606870862577731,0.5486779808998108,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
9,0.04629069871346777,0.5567908883094788,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
10,0.04243751442603146,0.5527844429016113,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
11,0.02817490475717932,0.554987907409668,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
12,0.028332710062386468,0.5591947436332703,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
13,0.034802896552719176,0.5582932829856873,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
14,0.023321908665820956,0.5668069124221802,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
15,0.012284554356786733,0.5670072436332703,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
16,0.023007844982203096,0.5688101053237915,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
17,0.017812588028997805,0.5758213996887207,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
18,0.017462920892285183,0.5729167461395264,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
19,0.007508113344859642,0.575721263885498,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
20,0.021080804590989526,0.5709134340286255,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
21,0.007263356140659501,0.5752204656600952,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
22,0.008419590007785397,0.5713142156600952,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
23,0.03410092041303869,0.5740184783935547,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
24,0.01031935092275186,0.5794271230697632,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
25,0.01490264393699666,0.5788261294364929,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
26,0.01869323421124136,0.581730842590332,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
27,0.004886951915977988,0.5806290507316589,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
28,0.0024921098884078674,0.5816306471824646,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
29,0.008496228326597096,0.5798277258872986,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,1,reward,2.0,30,10
