iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9161803523699443,0.2703750729560852,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.6480799863735835,0.37308332324028015,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.6275137613217037,0.37837499380111694,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.462012454867363,0.4136667251586914,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.384673371911049,0.42391669750213623,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.3089991509914398,0.44054168462753296,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.2171956797440846,0.4568750560283661,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.1733338683843613,0.46262508630752563,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.095505413909753,0.4738750159740448,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.0380280762910843,0.4857500195503235,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
10,0.9901930317282677,0.4920833706855774,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
11,0.9485279222329458,0.4936250150203705,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
12,0.8936393360296885,0.5007084608078003,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.8662556807200114,0.49895840883255005,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.8170182456572851,0.5029582977294922,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.7744611725211143,0.5083333253860474,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.7376729895671209,0.5095416903495789,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.7137847567598025,0.5106666088104248,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.683178573846817,0.5113750696182251,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.664805235962073,0.5115834474563599,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
20,1.3476013938585918,0.4230417013168335,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
21,1.2485573813319206,0.4377083480358124,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
22,1.1832050830125809,0.44312506914138794,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
23,1.115216923256715,0.4492083787918091,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
24,1.0476048092047374,0.4544583559036255,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
25,1.0092917270958424,0.45325005054473877,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.9624100513756275,0.45783334970474243,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.9011459983885288,0.4609999656677246,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.8789148479700089,0.4605417251586914,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.8322040339310964,0.46320831775665283,24,4,500,1000,20,15,"(3, 32, 32)",10,0.03,0.99,30,10
