iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.941888650258382,0.3045834004878998,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7076265811920166,0.3592084050178528,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.5928531636794407,0.38825005292892456,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.5279432982206345,0.3992500305175781,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.3895532935857773,0.42875000834465027,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.3040587951739628,0.43775004148483276,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.2176864097515743,0.4557083547115326,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.1763612776994705,0.4584166705608368,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.1090351045131683,0.46662506461143494,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.0317979554335277,0.4785833954811096,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.4623413408795993,0.4100833833217621,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.3908987045288086,0.42254170775413513,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.313393883407116,0.4280417561531067,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.2215824127197266,0.43804168701171875,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
14,1.1569234604636829,0.44195836782455444,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
15,1.1230720405777295,0.4467083811759949,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
16,1.072386346757412,0.447083443403244,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
17,1.0169347301125526,0.44995832443237305,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.9618007590373358,0.45312508940696716,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.9039926305413246,0.4592917859554291,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.8873520741860071,0.45591670274734497,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.8524569620688757,0.45820844173431396,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.8119918430844942,0.4580000042915344,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.776179164648056,0.4595833420753479,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.7310337871313095,0.4619583785533905,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.7061083540320396,0.4649999737739563,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.6708280965685844,0.4632917046546936,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.6511895172297955,0.46191665530204773,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.6144200824201107,0.463541716337204,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5976040127376715,0.4642084240913391,24,4,500,1000,10,13,"(3, 32, 32)",10,0.03,0.99,30,10
