iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9103548675775528,0.3082916736602783,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.6571042388677597,0.366958349943161,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.6279241840044658,0.3799999952316284,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.467257633805275,0.4190417230129242,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.4050828317801158,0.4267916679382324,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.294443239768346,0.4490000605583191,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.2930131554603577,0.444833368062973,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.1554701303442318,0.47400006651878357,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.1120565260450046,0.4768333435058594,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.0390699928005536,0.4869583547115326,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
10,0.9809900745749474,0.49550002813339233,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
11,0.9473722005883852,0.49762508273124695,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
12,0.8900458837548891,0.5013333559036255,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.878585288921992,0.4986667335033417,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.8166349232196808,0.5076666474342346,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
15,1.421152340869109,0.42604169249534607,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
16,1.3211776465177536,0.43512505292892456,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
17,1.2368565549453099,0.4412916600704193,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
18,1.1817548672358196,0.44712504744529724,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
19,1.1208049828807514,0.44970840215682983,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
20,1.0705580910046895,0.4540417194366455,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
21,1.007841979463895,0.45549994707107544,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.9793212910493215,0.4578333795070648,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.9251098930835724,0.4597916603088379,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.8804508472482363,0.4620416760444641,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.8571203077832857,0.46141669154167175,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.8165390441815058,0.4661250114440918,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.7916883925596873,0.46454164385795593,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.7566881999373436,0.4645416736602783,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.7107994419833025,0.4661667048931122,24,4,500,1000,15,14,"(3, 32, 32)",10,0.03,0.99,30,10
