iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7626529037952423,0.4467500150203705,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.3506563367942969,0.48233339190483093,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.2177652878065904,0.5035834312438965,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.18958551972173154,0.4973333775997162,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.18548233403513828,0.5003750324249268,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.11996942246332765,0.51500004529953,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.14457870406719545,0.515041708946228,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.069557190213042,0.5354166626930237,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.1503620515965546,0.5175000429153442,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.07704436629622553,0.5340834259986877,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.0692730147857219,0.5314167737960815,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.06800468769506551,0.5405000448226929,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.0484584896476008,0.546208381652832,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.08862090896582231,0.5450416803359985,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.06091286719311029,0.543583333492279,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.07043446487902354,0.546625018119812,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.03776288154767826,0.5482083559036255,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.036786038806894794,0.5560833811759949,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.009175665865768678,0.5609166622161865,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.03339046527495763,0.5524166822433472,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.06312705656940427,0.5475000143051147,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.08486861998972017,0.5407500267028809,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.02249689048039727,0.5607500076293945,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.05748634472790096,0.5502500534057617,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.040588319260374796,0.5528750419616699,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.028804646994103678,0.5551249980926514,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.04101439020693457,0.5564167499542236,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.01792386845772853,0.5607084035873413,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.03470428960766488,0.5555834770202637,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.008466866464004852,0.5676250457763672,24,4,500,1000,13,"(3, 32, 32)",10,0.01,0.99,8,30,10
