iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7403281157215437,0.45158061385154724,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.2880684242894252,0.4862444996833801,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.2234934358857572,0.5085033774375916,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.1306638492581745,0.5176070332527161,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.09909588455532987,0.5206582546234131,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.08243505443291117,0.5318627953529358,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.08244518504943699,0.5384654402732849,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.057439930542993047,0.5404661893844604,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.06328711505436029,0.5443677306175232,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.019630115110582363,0.5477190613746643,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.03166643704753369,0.5496197938919067,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.04272661676319937,0.554771900177002,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.07224666889912139,0.5546718239784241,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.06342089842655696,0.5521708726882935,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.03310917581742009,0.5604242086410522,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.016549315536394715,0.5607242584228516,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.026533053523356404,0.5635254383087158,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.028486253635492176,0.5676270127296448,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.0311062710970873,0.5669766664505005,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.017038162783137523,0.5694777965545654,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.02175176756766935,0.5709283351898193,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.010875910100973366,0.5730792284011841,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.021511270043750603,0.5733293294906616,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.016360150315449573,0.5754802823066711,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.016254377449513413,0.575430154800415,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.0062277937031467445,0.576230525970459,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.010856656476486629,0.5781313180923462,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.015876660242308088,0.5756301879882812,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.013089121649196992,0.5778810977935791,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.017707418897771277,0.5763806104660034,24,2,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
